evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> colour -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,620,0.5,271,14,90,245,0.832258064516129,0.8411102382822728,0.9459459459459459,0.7313432835820896,0.8249158249158249,0.9467190363969625,0.9541760456923449,0.04912280701754386,0.26865671641791045,0.12203631456598871
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> colour -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,652,0.5,299,16,86,251,0.843558282208589,0.8470067354340352,0.9400749063670412,0.744807121661721,0.8311258278145696,0.9387216805614431,0.9424890093951743,0.050793650793650794,0.2551928783382789,0.12218499832338874
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> colour -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,593,0.5,282,19,99,193,0.8010118043844857,0.7989179902607746,0.910377358490566,0.660958904109589,0.7658730158730159,0.9126655440768214,0.9151031226151296,0.06312292358803986,0.339041095890411,0.1343749838771904
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> colour -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,653,0.5,298,22,97,236,0.8177641653905053,0.8199793543543543,0.9147286821705426,0.7087087087087087,0.7986463620981388,0.928003003003003,0.9322537230320951,0.06875,0.2912912912912913,0.1291805043323323
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> crop -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,603,0.5,279,15,84,225,0.835820895522388,0.8385674658212801,0.9375,0.7281553398058253,0.819672131147541,0.9456332694890255,0.9493927917836642,0.05102040816326531,0.27184466019417475,0.12001389810896387
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> crop -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,598,0.5,268,8,118,204,0.7892976588628763,0.8022774327122153,0.9622641509433962,0.6335403726708074,0.7640449438202247,0.9206161670717437,0.9396186434421717,0.028985507246376812,0.36645962732919257,0.15205874141034945
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> crop -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,596,0.5,291,23,90,192,0.8104026845637584,0.8038013280932376,0.8930232558139535,0.6808510638297872,0.772635814889336,0.9207887247594524,0.9164290259765213,0.0732484076433121,0.3191489361702128,0.12818924218663222
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> crop -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,595,0.5,270,14,79,232,0.8436974789915966,0.8483424663738055,0.943089430894309,0.7459807073954984,0.8330341113105925,0.9507042253521127,0.9570860269820667,0.04929577464788732,0.2540192926045016,0.10993545529796092
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> jpeg -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,607,0.5,275,16,79,237,0.8434925864909391,0.8475085910652921,0.9367588932806324,0.75,0.8330404217926186,0.9510744268998217,0.9533303712050265,0.054982817869415807,0.25,0.11214388304461848
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,ordered_chain_pattern,blur -> jpeg -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,627,0.5,302,8,81,236,0.8580542264752791,0.8593365218276179,0.9672131147540983,0.7444794952681388,0.8413547237076648,0.9584105016790475,0.9630343699837243,0.025806451612903226,0.2555205047318612,0.10327827893809335
