evaluation_title,dataset_id,random_policy,scope,trial_index,trial_seed,model_id,model_title,architecture_override,checkpoint_hash,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,1,42,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,14724,0.5,7141,120,7309,154,0.4954496060853029,0.502054242051265,0.5620437956204379,0.020635133324400375,0.039808711386842444,0.5161234112343015,0.5189604085879219,0.016526649221870266,0.9793648666755996,0.438196815496307
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,1,42,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,14724,0.5,6861,400,1978,5485,0.8384949741917957,0.8399351504884501,0.9320305862361937,0.7349591317164679,0.821845969433623,0.9389205818622111,0.9423721917371881,0.05508883073956755,0.26504086828353207,0.11605131924081491
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,2,43,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,14724,0.5,7158,103,7284,179,0.4983020918228742,0.5048998093574355,0.6347517730496454,0.023984992630309527,0.04622336991607489,0.5104667578896268,0.5196892052048304,0.014185373915438644,0.9760150073696905,0.4369897826552865
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,2,43,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,14724,0.5,6897,364,1936,5527,0.8437924477044282,0.8452280296886944,0.9382108300797827,0.7405868953503952,0.8277669612101243,0.9444727118458685,0.9489868907479646,0.05013083597300647,0.2594131046496047,0.11065445251072381
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,3,44,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,14724,0.5,7134,127,7276,187,0.49721543058951373,0.5037831219241939,0.5955414012738853,0.025056947608200455,0.04809052333804809,0.5167244205601511,0.5237640587119964,0.0174907037598127,0.9749430523917996,0.43620184218005026
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,3,44,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,14724,0.5,6867,394,1909,5554,0.8435886987231731,0.8449711225611516,0.9337592468056489,0.7442047434007771,0.8282752963984789,0.9427019229770233,0.9460704071413847,0.05426249827847404,0.2557952565992228,0.11232153918275074
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,4,45,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,14724,0.5,7148,113,7289,174,0.49728334691659876,0.5038762130425999,0.6062717770034843,0.023315020769127698,0.04490322580645161,0.5178693333607436,0.5232115028571482,0.015562594683927834,0.9766849792308723,0.43730431206219356
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,4,45,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,14724,0.5,6879,382,1930,5533,0.8429774517794077,0.8443905141137633,0.93541842772612,0.7413908615838135,0.8271789505157722,0.9423822723064967,0.9457765616921856,0.052609833356287015,0.25860913841618655,0.11294249998162235
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,5,46,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,14724,0.5,7139,122,7314,149,0.4949741917957077,0.5015815340438252,0.5498154981549815,0.019965161463218545,0.03853116110680114,0.5162587066123556,0.5221819235085652,0.016802093375568105,0.9800348385367814,0.4382441977419493
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,random_trial,5,46,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,14724,0.5,6887,374,1870,5593,0.8475957620211899,0.8489612335882499,0.9373219373219374,0.7494305239179955,0.8329113924050633,0.9433191072191742,0.9485432950454311,0.05150805674149566,0.2505694760820046,0.11092723714446003
