evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,36789,0.5,17392,767,4533,14097,0.8559351980211476,0.8572223805126642,0.9483988159311088,0.756682769726248,0.841762703767839,0.9519647568326269,0.955577986763158,0.042238008700919656,0.24331723027375202,0.10438907987670852
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,jpeg,old_sid_b,Old SID B - SID-only robustness training,5,36789,0.5,17931,228,18303,327,0.4962896517980918,0.5024982887340037,0.5891891891891892,0.01755233494363929,0.03408913213448006,0.5168959941935933,0.5193163502145085,0.012555757475631918,0.9824476650563607,0.44793251551687785
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,36647,0.5,17095,903,5044,13605,0.8377220509182197,0.8396787460688118,0.9377584780810587,0.7295297334977747,0.8206411919051784,0.9420741236666385,0.9464495053695247,0.05017224136015113,0.27047026650222533,0.11574203133688833
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,blur,old_sid_b,Old SID B - SID-only robustness training,5,36647,0.5,17590,408,18082,567,0.4954566540235217,0.5038672947681444,0.5815384615384616,0.030403775001340554,0.05778638401956788,0.513304123298809,0.5226304286058198,0.022669185465051672,0.9695962249986595,0.4191114991969796
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,37105,0.5,17251,1023,5061,13770,0.8360328796658132,0.8376299316361222,0.9308456702494423,0.7312410387127609,0.8190578158458244,0.9365468155787421,0.941275538809655,0.05598117544051658,0.26875896128723914,0.11744679718696396
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,resize,old_sid_b,Old SID B - SID-only robustness training,5,37105,0.5,17834,440,18192,639,0.4978574316129902,0.5049277413790876,0.5922150139017609,0.033933407678827465,0.06418884982420894,0.5206964626468757,0.5274826547055456,0.024077924920652295,0.9660665923211725,0.40878771191347657
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,36630,0.5,17217,965,5090,13358,0.8346983346983347,0.8355074314608111,0.9326258465405293,0.7240893321769297,0.8152329803789936,0.9352707141022694,0.940282451573265,0.05307446925530745,0.2759106678230703,0.11866919567854187
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,noise,old_sid_b,Old SID B - SID-only robustness training,5,36630,0.5,18046,136,18230,218,0.4986076986076986,0.5021685369659746,0.615819209039548,0.011816999132697311,0.023189022444420806,0.5241951086289224,0.5219883327283418,0.007479925200747992,0.9881830008673027,0.46560365423328975
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,36926,0.5,17061,1107,4450,14308,0.8495098304717543,0.8509182889540885,0.9281868310087577,0.7627678857021004,0.8373862405993036,0.9439479871532517,0.9467367132008349,0.06093130779392338,0.23723211429789956,0.10841798538368849
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,colour,old_sid_b,Old SID B - SID-only robustness training,5,36926,0.5,17890,278,18371,387,0.494962898770514,0.5026647840587869,0.5819548872180451,0.02063119735579486,0.039849662770941666,0.5117665222562431,0.5204061773993162,0.015301629238221048,0.9793688026442051,0.4426323548631546
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,36763,0.5,17157,977,4691,13938,0.8458232461986236,0.8471558064207336,0.9344954743546765,0.7481883085511837,0.8310279036489387,0.9439476360968809,0.9476478839760997,0.05387669570971655,0.2518116914488164,0.11082234173843816
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,CIFAKE,random_standard_3,contains_transform,crop,old_sid_b,Old SID B - SID-only robustness training,5,36763,0.5,17869,265,18238,391,0.49669504665016456,0.5031876738016485,0.5960365853658537,0.020988780932953997,0.04054964998703656,0.509307603023005,0.51856226802393,0.014613433329656998,0.979011219067046,0.4405363625434277
