evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,old_sid_b__num_samples,mixed_sid_cifake_b__num_samples,old_sid_b__threshold,mixed_sid_cifake_b__threshold,old_sid_b__true_negatives,mixed_sid_cifake_b__true_negatives,mixed_sid_cifake_b_minus_old_sid_b__true_negatives,old_sid_b__false_positives,mixed_sid_cifake_b__false_positives,mixed_sid_cifake_b_minus_old_sid_b__false_positives,old_sid_b__false_negatives,mixed_sid_cifake_b__false_negatives,mixed_sid_cifake_b_minus_old_sid_b__false_negatives,old_sid_b__true_positives,mixed_sid_cifake_b__true_positives,mixed_sid_cifake_b_minus_old_sid_b__true_positives,old_sid_b__accuracy,mixed_sid_cifake_b__accuracy,mixed_sid_cifake_b_minus_old_sid_b__accuracy,old_sid_b__balanced_accuracy,mixed_sid_cifake_b__balanced_accuracy,mixed_sid_cifake_b_minus_old_sid_b__balanced_accuracy,old_sid_b__precision,mixed_sid_cifake_b__precision,mixed_sid_cifake_b_minus_old_sid_b__precision,old_sid_b__recall,mixed_sid_cifake_b__recall,mixed_sid_cifake_b_minus_old_sid_b__recall,old_sid_b__f1,mixed_sid_cifake_b__f1,mixed_sid_cifake_b_minus_old_sid_b__f1,old_sid_b__auroc,mixed_sid_cifake_b__auroc,mixed_sid_cifake_b_minus_old_sid_b__auroc,old_sid_b__auprc,mixed_sid_cifake_b__auprc,mixed_sid_cifake_b_minus_old_sid_b__auprc,old_sid_b__false_positive_rate,mixed_sid_cifake_b__false_positive_rate,mixed_sid_cifake_b_minus_old_sid_b__false_positive_rate,old_sid_b__false_negative_rate,mixed_sid_cifake_b__false_negative_rate,mixed_sid_cifake_b_minus_old_sid_b__false_negative_rate,old_sid_b__brier_score,mixed_sid_cifake_b__brier_score,mixed_sid_cifake_b_minus_old_sid_b__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,clean,,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.49409127954360227,0.9718826405867971,0.4777913610431948,0.0,0.0,old_sid_b,mixed_sid_cifake_b,0.49409127954360227,0.9718826405867971,0.4777913610431948,0.0,0.0,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7259,6990,-269.0,2,271,269.0,7447,143,-7304.0,16,7320,7304.0,0.49409127954360227,0.9718826405867971,0.4777913610431948,0.500934232901042,0.9717580609720713,0.4708238280710293,0.8888888888888888,0.9642998287445659,0.07541093985567704,0.002143909955781857,0.9808388047701997,0.9786948948144178,0.004277503007619302,0.9724990035870865,0.9682215005794672,0.639219682177012,0.9961787429194605,0.35695906074244854,0.6447090765280741,0.9962411143971903,0.35153203786911624,0.0002754441536978378,0.03732268282605702,0.03704723867235918,0.9978560900442182,0.019161195229800348,-0.9786948948144178,0.49499249330487394,0.021962019824705577,-0.47303047348016836,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,90.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.49402336321651724,0.9710676446617766,0.4770442814452594,6.791632708502693e-05,0.0008149959250204342,old_sid_b,mixed_sid_cifake_b,0.49402336321651724,0.9710676446617766,0.4770442814452594,6.791632708502693e-05,0.0008149959250204342,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7259,7011,-248.0,2,250,248.0,7448,176,-7272.0,15,7287,7272.0,0.49402336321651724,0.9710676446617766,0.4770442814452594,0.5008672357149239,0.970993235637085,0.4701259999221611,0.8823529411764706,0.9668303038344169,0.08447736265794636,0.002009915583545491,0.9764169904863995,0.974407074902854,0.004010695187165776,0.9716,0.9675893048128342,0.6370089411209611,0.9959813037528777,0.3589723626319167,0.6425593212590608,0.9960812880375081,0.35352196677844727,0.0002754441536978378,0.03443051921222972,0.03415507505853188,0.9979900844164545,0.023583009513600428,-0.9744070749028542,0.49597875611302655,0.022135005324567438,-0.47384375078845914,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,70.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.49402336321651724,0.9715430589513719,0.4775196957348547,6.791632708502693e-05,0.00033958163542513464,old_sid_b,mixed_sid_cifake_b,0.49402336321651724,0.9715430589513719,0.4775196957348547,6.791632708502693e-05,0.00033958163542513464,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7259,6984,-275.0,2,277,275.0,7448,142,-7306.0,15,7321,7306.0,0.49402336321651724,0.9715430589513719,0.4775196957348547,0.5008672357149239,0.9714118919276428,0.4705446562127189,0.8823529411764706,0.9635430376414846,0.08119009646501407,0.002009915583545491,0.9809727991424361,0.9789628835588906,0.004010695187165776,0.9721798021379723,0.9681691069508065,0.6505028258307711,0.9961947332959294,0.3456919074651583,0.6542999691272827,0.9962439421085274,0.3419439729812447,0.0002754441536978378,0.03814901528715053,0.03787357113345269,0.9979900844164545,0.019027200857563983,-0.9789628835588906,0.49621099332480884,0.022042888714174168,-0.4741681046106347,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,50.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.4936158652540071,0.9580956261885357,0.46447976093452864,0.0004754142895951885,0.013787014398261355,old_sid_b,mixed_sid_cifake_b,0.4936158652540071,0.9580956261885357,0.46447976093452864,0.0004754142895951885,0.013787014398261355,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7261,6965,-296.0,0,296,296.0,7456,321,-7135.0,7,7142,7135.0,0.4936158652540071,0.9580956261885357,0.46447976093452864,0.5004689803028273,0.9581110358824232,0.4576420555795959,1.0,0.96020435600968,-0.039795643990319984,0.0009379606056545625,0.9569878065121264,0.9560498459064719,0.0018741633199464524,0.9585933829944299,0.9567192196744834,0.6326603799235943,0.9932219442293685,0.36056156430577424,0.6317404676751276,0.9930493464994807,0.36130887882435314,0.0,0.040765734747279986,0.040765734747279986,0.9990620393943455,0.04301219348787351,-0.9560498459064719,0.49954595514564337,0.03003488852004646,-0.46951106662559694,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,30.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.4938875305623472,0.9512360771529476,0.45734854659060037,0.00020374898125508079,0.02064656343384952,old_sid_b,mixed_sid_cifake_b,0.4938875305623472,0.9512360771529476,0.45734854659060037,0.00020374898125508079,0.02064656343384952,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7261,6984,-277.0,0,277,277.0,7452,441,-7011.0,11,7022,7011.0,0.4938875305623472,0.9512360771529476,0.45734854659060037,0.5007369690473,0.951379733278306,0.450642764231006,1.0,0.9620495958350459,-0.0379504041649541,0.0014739380946000268,0.9409084818437625,0.9394345437491625,0.0029435375970029436,0.9513616041186831,0.9484180665216801,0.6091615574814913,0.9900586823748941,0.3808971248934029,0.6100137716481332,0.9905683578439405,0.3805545861958073,0.0,0.03814901528715053,0.03814901528715053,0.9985260619053999,0.059091518156237435,-0.9394345437491625,0.49618333748762583,0.03667722414221327,-0.4595061133454126,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.4936837815810921,0.9599972833469166,0.4663135017658245,0.00040749796251016157,0.01188535723988049,old_sid_b,mixed_sid_cifake_b,0.4936837815810921,0.9599972833469166,0.4663135017658245,0.00040749796251016157,0.01188535723988049,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7258,7113,-145.0,3,148,145.0,7452,441,-7011.0,11,7022,7011.0,0.4936837815810921,0.9599972833469166,0.4663135017658245,0.5005303859320266,0.9602628072350612,0.4597324213030346,0.7857142857142857,0.9793584379358438,0.19364415222155806,0.0014739380946000268,0.9409084818437625,0.9394345437491625,0.002942356560117694,0.959748513633568,0.9568061570734503,0.5575777932737925,0.9944970960166098,0.4369193027428173,0.5618336742601312,0.9947671537393679,0.43293347947923666,0.0004131662305467566,0.020382867373639993,0.019969701143093235,0.9985260619053999,0.059091518156237435,-0.9394345437491625,0.4966911262688104,0.029428121979334063,-0.4672630042894763,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,1.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.4993208367291497,0.9382640586797066,0.43894322195055696,-0.0052295571855474066,0.03361858190709044,old_sid_b,mixed_sid_cifake_b,0.4993208367291497,0.9382640586797066,0.43894322195055696,-0.0052295571855474066,0.03361858190709044,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7208,6989,-219.0,53,272,219.0,7319,637,-6682.0,144,6826,6682.0,0.4993208367291497,0.9382640586797066,0.43894322195055696,0.505997959764522,0.9385925899912644,0.4325946302267424,0.7309644670050761,0.961679346294731,0.23071487928965484,0.019295189602036713,0.9146455848854348,0.8953503952833981,0.03759791122715405,0.9375729688894994,0.8999750576623453,0.5355474650012364,0.9861783725480169,0.4506309075467805,0.5419898535855326,0.9872115121576374,0.4452216585721047,0.0072992700729927005,0.03746040490290593,0.030161134829913235,0.9807048103979633,0.0853544151145652,-0.8953503952833981,0.4354094382127501,0.045556227552935445,-0.38985321065981465,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,2.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.5004074979625102,0.8774789459386036,0.3770714479760935,-0.006316218418907893,0.09440369464819343,old_sid_b,mixed_sid_cifake_b,0.5004074979625102,0.8774789459386036,0.3770714479760935,-0.006316218418907893,0.09440369464819343,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,6783,6917,134.0,478,344,-134.0,6878,1460,-5418.0,585,6003,5418.0,0.5004074979625102,0.8774789459386036,0.3770714479760935,0.5062777775122455,0.8784959110494387,0.37221813353719324,0.5503292568203199,0.9458011659051521,0.3954719090848322,0.07838670775827415,0.8043682165349055,0.7259815087766314,0.13722730471498945,0.8693700217233888,0.7321427170083994,0.5015353529507909,0.9600662630866652,0.4585309101358743,0.5161969110629074,0.9625107541381916,0.4463138430752842,0.06583115273378322,0.0473763944360281,-0.01845475829775512,0.9216132922417258,0.19563178346509447,-0.7259815087766314,0.33475991280897077,0.08914236081438043,-0.24561755199459034,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.4965362673186634,0.9411844607443629,0.4446481934256995,-0.002444987775061136,0.03069817984243417,old_sid_b,mixed_sid_cifake_b,0.4965362673186634,0.9411844607443629,0.4446481934256995,-0.002444987775061136,0.03069817984243417,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,7241,6850,-391.0,20,411,391.0,7393,455,-6938.0,70,7008,6938.0,0.4965362673186634,0.9411844607443629,0.4446481934256995,0.5033125822597836,0.9412143935237739,0.4379018112639903,0.7777777777777778,0.9446016983420946,0.16682392056431683,0.009379606056545624,0.9390325606324534,0.9296529545759078,0.018535681186283594,0.9418088966536756,0.923273215467392,0.5592004704732301,0.9867520146167358,0.4275515441435057,0.5629906466481573,0.9875279739404569,0.42453732729229954,0.002754441536978378,0.05660377358490566,0.05384933204792729,0.9906203939434544,0.06096743936754656,-0.9296529545759078,0.45128854505953336,0.04261460310671886,-0.4086739419528145,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.25,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.5028524857375714,0.8828443357783211,0.37999185004074976,-0.008761206193969084,0.08903830480847597,old_sid_b,mixed_sid_cifake_b,0.5028524857375714,0.8828443357783211,0.37999185004074976,-0.008761206193969084,0.08903830480847597,mixed_sid_cifake_b,mixed_sid_cifake_b,14724,14724,0.5,0.5,6844,6771,-73.0,417,490,73.0,6903,1235,-5668.0,560,6228,5668.0,0.5028524857375714,0.8828443357783211,0.37999185004074976,0.5088033712031829,0.8835165663160589,0.37471319511287604,0.5731832139201638,0.9270616254837749,0.3538784115636111,0.075036848452365,0.8345169502880879,0.7594801018357229,0.13270142180094788,0.8783583668288555,0.7456569450279076,0.504553732582923,0.9576347939371946,0.4530810613542716,0.5237322067983186,0.9599793875734409,0.43624718077512237,0.05743010604599917,0.06748381765597025,0.01005371160997108,0.924963151547635,0.1654830497119121,-0.7594801018357229,0.3497634025923993,0.08466179063014448,-0.2651016119622548,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
