model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,clean,,,14724,0.5,7259,2,7447,16,0.49409127954360227,0.500934232901042,0.8888888888888888,0.002143909955781857,0.004277503007619302,0.639219682177012,0.6447090765280741,0.0002754441536978378,0.9978560900442182,0.49499249330487394
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,clean,,,14724,0.5,6990,271,143,7320,0.9718826405867971,0.9717580609720713,0.9642998287445659,0.9808388047701997,0.9724990035870865,0.9961787429194605,0.9962411143971903,0.03732268282605702,0.019161195229800348,0.021962019824705577
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,90.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6370089411209611,0.6425593212590608,0.0002754441536978378,0.9979900844164545,0.49597875611302655
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,90.0,,14724,0.5,7011,250,176,7287,0.9710676446617766,0.970993235637085,0.9668303038344169,0.9764169904863995,0.9716,0.9959813037528777,0.9960812880375081,0.03443051921222972,0.023583009513600428,0.022135005324567438
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,70.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6505028258307711,0.6542999691272827,0.0002754441536978378,0.9979900844164545,0.49621099332480884
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,70.0,,14724,0.5,6984,277,142,7321,0.9715430589513719,0.9714118919276428,0.9635430376414846,0.9809727991424361,0.9721798021379723,0.9961947332959294,0.9962439421085274,0.03814901528715053,0.019027200857563983,0.022042888714174168
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,50.0,,14724,0.5,7261,0,7456,7,0.4936158652540071,0.5004689803028273,1.0,0.0009379606056545625,0.0018741633199464524,0.6326603799235943,0.6317404676751276,0.0,0.9990620393943455,0.49954595514564337
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,50.0,,14724,0.5,6965,296,321,7142,0.9580956261885357,0.9581110358824232,0.96020435600968,0.9569878065121264,0.9585933829944299,0.9932219442293685,0.9930493464994807,0.040765734747279986,0.04301219348787351,0.03003488852004646
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,30.0,,14724,0.5,7261,0,7452,11,0.4938875305623472,0.5007369690473,1.0,0.0014739380946000268,0.0029435375970029436,0.6091615574814913,0.6100137716481332,0.0,0.9985260619053999,0.49618333748762583
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,30.0,,14724,0.5,6984,277,441,7022,0.9512360771529476,0.951379733278306,0.9620495958350459,0.9409084818437625,0.9513616041186831,0.9900586823748941,0.9905683578439405,0.03814901528715053,0.059091518156237435,0.03667722414221327
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,0.5,,14724,0.5,7258,3,7452,11,0.4936837815810921,0.5005303859320266,0.7857142857142857,0.0014739380946000268,0.002942356560117694,0.5575777932737925,0.5618336742601312,0.0004131662305467566,0.9985260619053999,0.4966911262688104
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,blur,0.5,,14724,0.5,7113,148,441,7022,0.9599972833469166,0.9602628072350612,0.9793584379358438,0.9409084818437625,0.959748513633568,0.9944970960166098,0.9947671537393679,0.020382867373639993,0.059091518156237435,0.029428121979334063
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,1.0,,14724,0.5,7208,53,7319,144,0.4993208367291497,0.505997959764522,0.7309644670050761,0.019295189602036713,0.03759791122715405,0.5355474650012364,0.5419898535855326,0.0072992700729927005,0.9807048103979633,0.4354094382127501
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,blur,1.0,,14724,0.5,6989,272,637,6826,0.9382640586797066,0.9385925899912644,0.961679346294731,0.9146455848854348,0.9375729688894994,0.9861783725480169,0.9872115121576374,0.03746040490290593,0.0853544151145652,0.045556227552935445
