evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,sid_a_clean__num_samples,sid_b_robust__num_samples,sid_a_clean__threshold,sid_b_robust__threshold,sid_a_clean__true_negatives,sid_b_robust__true_negatives,sid_b_robust_minus_sid_a_clean__true_negatives,sid_a_clean__false_positives,sid_b_robust__false_positives,sid_b_robust_minus_sid_a_clean__false_positives,sid_a_clean__false_negatives,sid_b_robust__false_negatives,sid_b_robust_minus_sid_a_clean__false_negatives,sid_a_clean__true_positives,sid_b_robust__true_positives,sid_b_robust_minus_sid_a_clean__true_positives,sid_a_clean__accuracy,sid_b_robust__accuracy,sid_b_robust_minus_sid_a_clean__accuracy,sid_a_clean__balanced_accuracy,sid_b_robust__balanced_accuracy,sid_b_robust_minus_sid_a_clean__balanced_accuracy,sid_a_clean__precision,sid_b_robust__precision,sid_b_robust_minus_sid_a_clean__precision,sid_a_clean__recall,sid_b_robust__recall,sid_b_robust_minus_sid_a_clean__recall,sid_a_clean__f1,sid_b_robust__f1,sid_b_robust_minus_sid_a_clean__f1,sid_a_clean__auroc,sid_b_robust__auroc,sid_b_robust_minus_sid_a_clean__auroc,sid_a_clean__auprc,sid_b_robust__auprc,sid_b_robust_minus_sid_a_clean__auprc,sid_a_clean__false_positive_rate,sid_b_robust__false_positive_rate,sid_b_robust_minus_sid_a_clean__false_positive_rate,sid_a_clean__false_negative_rate,sid_b_robust__false_negative_rate,sid_b_robust_minus_sid_a_clean__false_negative_rate,sid_a_clean__brier_score,sid_b_robust__brier_score,sid_b_robust_minus_sid_a_clean__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,clean,,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5118174409127955,0.49409127954360227,-0.017726161369193194,0.0,0.0,sid_a_clean,sid_b_robust,0.5118174409127955,0.49409127954360227,-0.017726161369193194,0.0,0.0,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7244,7259,15.0,17,2,-15.0,7171,7447,276.0,292,16,-276.0,0.5118174409127955,0.49409127954360227,-0.017726161369193194,0.5183925406932937,0.500934232901042,-0.01745830779225166,0.9449838187702265,0.8888888888888888,-0.056094929881337685,0.03912635669301889,0.002143909955781857,-0.03698244673723704,0.07514153371075656,0.004277503007619302,-0.07086403070313727,0.6353686311405468,0.639219682177012,0.003851051036465214,0.665427520018739,0.6447090765280741,-0.020718443490664873,0.002341275306431621,0.0002754441536978378,-0.002065831152733783,0.9608736433069811,0.9978560900442182,0.03698244673723705,0.43542090800674726,0.49499249330487394,0.05957158529812667,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,jpeg,90.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5097799511002445,0.49402336321651724,-0.015756587883727302,0.002037489812550919,6.791632708502693e-05,sid_a_clean,sid_b_robust,0.5097799511002445,0.49402336321651724,-0.015756587883727302,0.002037489812550919,6.791632708502693e-05,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7248,7259,11.0,13,2,-11.0,7205,7448,243.0,258,15,-243.0,0.5097799511002445,0.49402336321651724,-0.015756587883727302,0.5163900805189732,0.5008672357149239,-0.015522844804049307,0.9520295202952029,0.8823529411764706,-0.06967657911873237,0.034570548036982444,0.002009915583545491,-0.032560632453436954,0.06671838634600466,0.004010695187165776,-0.06270769115883888,0.6309424340357295,0.6370089411209611,0.006066507085231598,0.6606669670335215,0.6425593212590608,-0.018107645774460668,0.0017903869990359455,0.0002754441536978378,-0.0015149428453381077,0.9654294519630175,0.9979900844164545,0.03256063245343699,0.4381707084442209,0.49597875611302655,0.05780804766880565,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,jpeg,70.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5100516164085847,0.49402336321651724,-0.01602825319206741,0.0017658245042108112,6.791632708502693e-05,sid_a_clean,sid_b_robust,0.5100516164085847,0.49402336321651724,-0.01602825319206741,0.0017658245042108112,6.791632708502693e-05,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7243,7259,16.0,18,2,-16.0,7196,7448,252.0,267,15,-252.0,0.5100516164085847,0.49402336321651724,-0.01602825319206741,0.5166487500019146,0.5008672357149239,-0.015781514286990705,0.9368421052631579,0.8823529411764706,-0.05448916408668736,0.035776497387109744,0.002009915583545491,-0.033766581803564254,0.068921011874032,0.004010695187165776,-0.06491031668686623,0.6406254604845503,0.6505028258307711,0.009877365346220857,0.6683201287523992,0.6542999691272827,-0.01402015962511649,0.00247899738328054,0.0002754441536978378,-0.0022035532295827023,0.9642235026128902,0.9979900844164545,0.03376658180356429,0.4364067022955035,0.49621099332480884,0.059804291029305345,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,jpeg,50.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5033958163542516,0.4936158652540071,-0.009779951100244488,0.008421624558543894,0.0004754142895951885,sid_a_clean,sid_b_robust,0.5033958163542516,0.4936158652540071,-0.009779951100244488,0.008421624558543894,0.0004754142895951885,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7249,7261,12.0,12,0,-12.0,7300,7456,156.0,163,7,-156.0,0.5033958163542516,0.4936158652540071,-0.009779951100244488,0.5100942088761703,0.5004689803028273,-0.009625228573343025,0.9314285714285714,1.0,0.06857142857142862,0.02184108267452767,0.0009379606056545625,-0.02090312206887311,0.042681330191149516,0.0018741633199464524,-0.04080716687120307,0.6173112147827182,0.6326603799235943,0.015349165140876031,0.6395151440226434,0.6317404676751276,-0.00777467634751583,0.0016526649221870265,0.0,-0.0016526649221870265,0.9781589173254723,0.9990620393943455,0.020903122068873126,0.4467433938683519,0.49954595514564337,0.05280256127729149,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,jpeg,30.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5091687041564792,0.4938875305623472,-0.015281173594132003,0.0026487367563162723,0.00020374898125508079,sid_a_clean,sid_b_robust,0.5091687041564792,0.4938875305623472,-0.015281173594132003,0.0026487367563162723,0.00020374898125508079,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7238,7261,23.0,23,0,-23.0,7204,7452,248.0,259,11,-248.0,0.5091687041564792,0.4938875305623472,-0.015281173594132003,0.5157684673208468,0.5007369690473,-0.015031498273546773,0.9184397163120568,1.0,0.08156028368794321,0.03470454240921881,0.0014739380946000268,-0.033230604314618786,0.06688185926404132,0.0029435375970029436,-0.06393832166703838,0.6241453891163538,0.6091615574814913,-0.014983831634862499,0.6481260776854904,0.6100137716481332,-0.03811230603735716,0.0031676077675251344,0.0,-0.0031676077675251344,0.9652954575907812,0.9985260619053999,0.03323060431461877,0.43230733214040196,0.49618333748762583,0.06387600534722387,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,blur,0.5,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5049578918772073,0.4936837815810921,-0.011274110296115192,0.006859549035588164,0.00040749796251016157,sid_a_clean,sid_b_robust,0.5049578918772073,0.4936837815810921,-0.011274110296115192,0.006859549035588164,0.00040749796251016157,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7249,7258,9.0,12,3,-9.0,7277,7452,175.0,186,11,-175.0,0.5049578918772073,0.4936837815810921,-0.011274110296115192,0.5116351441568885,0.5005303859320266,-0.0111047582248619,0.9393939393939394,0.7857142857142857,-0.15367965367965375,0.02492295323596409,0.0014739380946000268,-0.023449015141364063,0.04855762955227777,0.002942356560117694,-0.045615272992160075,0.5875307118109165,0.5575777932737925,-0.029952918537124007,0.6216803611239984,0.5618336742601312,-0.05984668686386718,0.0016526649221870265,0.0004131662305467566,-0.00123949869164027,0.975077046764036,0.9985260619053999,0.023449015141363994,0.453016285451936,0.4966911262688104,0.043674840816874394,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,blur,1.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5010866612333605,0.4993208367291497,-0.0017658245042108667,0.01073077967943492,-0.0052295571855474066,sid_a_clean,sid_b_robust,0.5010866612333605,0.4993208367291497,-0.0017658245042108667,0.01073077967943492,-0.0052295571855474066,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7227,7208,-19.0,34,53,19.0,7312,7319,7.0,151,144,-7.0,0.5010866612333605,0.4993208367291497,-0.0017658245042108667,0.507775299797414,0.505997959764522,-0.001777340032891983,0.8162162162162162,0.7309644670050761,-0.0852517492111401,0.020233150207691276,0.019295189602036713,-0.0009379606056545628,0.03948744769874477,0.03759791122715405,-0.001889536471590722,0.5718113136314794,0.5355474650012364,-0.03626384863024301,0.5883262712311887,0.5419898535855326,-0.0463364176456561,0.004682550612863242,0.0072992700729927005,0.002616719460129459,0.9797668497923088,0.9807048103979633,0.000937960605654542,0.431865275682406,0.4354094382127501,0.003544162530344064,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,blur,2.0,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5029204020646564,0.5004074979625102,-0.0025129041021462184,0.008897038848139083,-0.006316218418907893,sid_a_clean,sid_b_robust,0.5029204020646564,0.5004074979625102,-0.0025129041021462184,0.008897038848139083,-0.006316218418907893,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7167,6783,-384.0,94,478,384.0,7225,6878,-347.0,238,585,347.0,0.5029204020646564,0.5004074979625102,-0.0025129041021462184,0.5094723926842284,0.5062777775122455,-0.0031946151719829396,0.7168674698795181,0.5503292568203199,-0.16653821305919825,0.03189066059225513,0.07838670775827415,0.046496047166019024,0.06106478511866581,0.13722730471498945,0.07616251959632364,0.5079160391005211,0.5015353529507909,-0.006380686149730197,0.536857930498951,0.5161969110629074,-0.020661019436043593,0.012945875223798375,0.06583115273378322,0.05288527750998484,0.9681093394077449,0.9216132922417258,-0.04649604716601907,0.3695041272878387,0.33475991280897077,-0.03474421447886794,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,resize,0.5,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5032599837000815,0.4965362673186634,-0.00672371638141811,0.008557457212713948,-0.002444987775061136,sid_a_clean,sid_b_robust,0.5032599837000815,0.4965362673186634,-0.00672371638141811,0.008557457212713948,-0.002444987775061136,sid_a_clean,sid_a_clean,14724,14724,0.5,0.5,7226,7241,15.0,35,20,-15.0,7279,7393,114.0,184,70,-114.0,0.5032599837000815,0.4965362673186634,-0.00672371638141811,0.5099173459008896,0.5033125822597836,-0.00660476364110596,0.8401826484018264,0.7777777777777778,-0.06240487062404865,0.024654964491491356,0.009379606056545624,-0.015275358434945732,0.04790419161676647,0.018535681186283594,-0.029368510430482875,0.5754461208924501,0.5592004704732301,-0.016245650419219992,0.6008607250293727,0.5629906466481573,-0.037870078381215366,0.004820272689712161,0.002754441536978378,-0.0020658311527337833,0.9753450355085086,0.9906203939434544,0.015275358434945763,0.4328062939185782,0.45128854505953336,0.01848225114095514,SID A — clean SID training,SID B — robustness SID training
Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,resize,0.25,sid_a_clean,SID A — clean SID training,sid_b_robust,SID B — robustness SID training,sid_b_robust minus sid_a_clean,0.5018337408312958,0.5028524857375714,0.001018744906275515,0.009983700081499625,-0.008761206193969084,sid_a_clean,sid_b_robust,0.5018337408312958,0.5028524857375714,0.001018744906275515,0.009983700081499625,-0.008761206193969084,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7137,6844,-293.0,124,417,293.0,7211,6903,-308.0,252,560,308.0,0.5018337408312958,0.5028524857375714,0.001018744906275515,0.5083445221371491,0.5088033712031829,0.00045884906603377296,0.6702127659574468,0.5731832139201638,-0.09702955203728303,0.033766581803564254,0.075036848452365,0.04127026664880074,0.0642939150401837,0.13270142180094788,0.06840750676076418,0.5284653429489167,0.504553732582923,-0.023911610365993652,0.5477704357868769,0.5237322067983186,-0.02403822898855834,0.01707753752926594,0.05743010604599917,0.04035256851673323,0.9662334181964357,0.924963151547635,-0.041270266648800735,0.3794928856938558,0.3497634025923993,-0.02972948310145651,SID A — clean SID training,SID B — robustness SID training
