model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,clean,,,14724,0.5,7244,17,7171,292,0.5118174409127955,0.5183925406932937,0.9449838187702265,0.03912635669301889,0.07514153371075656,0.6353686311405468,0.665427520018739,0.002341275306431621,0.9608736433069811,0.43542090800674726
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,clean,,,14724,0.5,7259,2,7447,16,0.49409127954360227,0.500934232901042,0.8888888888888888,0.002143909955781857,0.004277503007619302,0.639219682177012,0.6447090765280741,0.0002754441536978378,0.9978560900442182,0.49499249330487394
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,jpeg,90.0,,14724,0.5,7248,13,7205,258,0.5097799511002445,0.5163900805189732,0.9520295202952029,0.034570548036982444,0.06671838634600466,0.6309424340357295,0.6606669670335215,0.0017903869990359455,0.9654294519630175,0.4381707084442209
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,90.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6370089411209611,0.6425593212590608,0.0002754441536978378,0.9979900844164545,0.49597875611302655
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,jpeg,70.0,,14724,0.5,7243,18,7196,267,0.5100516164085847,0.5166487500019146,0.9368421052631579,0.035776497387109744,0.068921011874032,0.6406254604845503,0.6683201287523992,0.00247899738328054,0.9642235026128902,0.4364067022955035
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,70.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6505028258307711,0.6542999691272827,0.0002754441536978378,0.9979900844164545,0.49621099332480884
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,jpeg,50.0,,14724,0.5,7249,12,7300,163,0.5033958163542516,0.5100942088761703,0.9314285714285714,0.02184108267452767,0.042681330191149516,0.6173112147827182,0.6395151440226434,0.0016526649221870265,0.9781589173254723,0.4467433938683519
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,50.0,,14724,0.5,7261,0,7456,7,0.4936158652540071,0.5004689803028273,1.0,0.0009379606056545625,0.0018741633199464524,0.6326603799235943,0.6317404676751276,0.0,0.9990620393943455,0.49954595514564337
sid_a_clean,SID A — clean SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,fa2f40fd4c4e35cc577ce44c59c82467a942a920cd2a3f4362140968689efad3,val,jpeg,30.0,,14724,0.5,7238,23,7204,259,0.5091687041564792,0.5157684673208468,0.9184397163120568,0.03470454240921881,0.06688185926404132,0.6241453891163538,0.6481260776854904,0.0031676077675251344,0.9652954575907812,0.43230733214040196
sid_b_robust,SID B — robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID A — clean SID training vs SID B — robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,30.0,,14724,0.5,7261,0,7452,11,0.4938875305623472,0.5007369690473,1.0,0.0014739380946000268,0.0029435375970029436,0.6091615574814913,0.6100137716481332,0.0,0.9985260619053999,0.49618333748762583
