evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,sid_b_robust__num_samples,sid_convnext_robust__num_samples,sid_b_robust__threshold,sid_convnext_robust__threshold,sid_b_robust__true_negatives,sid_convnext_robust__true_negatives,sid_convnext_robust_minus_sid_b_robust__true_negatives,sid_b_robust__false_positives,sid_convnext_robust__false_positives,sid_convnext_robust_minus_sid_b_robust__false_positives,sid_b_robust__false_negatives,sid_convnext_robust__false_negatives,sid_convnext_robust_minus_sid_b_robust__false_negatives,sid_b_robust__true_positives,sid_convnext_robust__true_positives,sid_convnext_robust_minus_sid_b_robust__true_positives,sid_b_robust__accuracy,sid_convnext_robust__accuracy,sid_convnext_robust_minus_sid_b_robust__accuracy,sid_b_robust__balanced_accuracy,sid_convnext_robust__balanced_accuracy,sid_convnext_robust_minus_sid_b_robust__balanced_accuracy,sid_b_robust__precision,sid_convnext_robust__precision,sid_convnext_robust_minus_sid_b_robust__precision,sid_b_robust__recall,sid_convnext_robust__recall,sid_convnext_robust_minus_sid_b_robust__recall,sid_b_robust__f1,sid_convnext_robust__f1,sid_convnext_robust_minus_sid_b_robust__f1,sid_b_robust__auroc,sid_convnext_robust__auroc,sid_convnext_robust_minus_sid_b_robust__auroc,sid_b_robust__auprc,sid_convnext_robust__auprc,sid_convnext_robust_minus_sid_b_robust__auprc,sid_b_robust__false_positive_rate,sid_convnext_robust__false_positive_rate,sid_convnext_robust_minus_sid_b_robust__false_positive_rate,sid_b_robust__false_negative_rate,sid_convnext_robust__false_negative_rate,sid_convnext_robust_minus_sid_b_robust__false_negative_rate,sid_b_robust__brier_score,sid_convnext_robust__brier_score,sid_convnext_robust_minus_sid_b_robust__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,clean,,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.49409127954360227,0.49375169790817713,-0.00033958163542513464,0.0,0.0,sid_b_robust,sid_convnext_robust,0.49409127954360227,0.49375169790817713,-0.00033958163542513464,0.0,0.0,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7259,7260,1.0,2,1,-1.0,7447,7453,6.0,16,10,-6.0,0.49409127954360227,0.49375169790817713,-0.00033958163542513464,0.500934232901042,0.5006011108227574,-0.00033312207828462004,0.8888888888888888,0.9090909090909091,0.02020202020202022,0.002143909955781857,0.0013399437223636608,-0.0008039662334181964,0.004277503007619302,0.002675943270002676,-0.001601559737616626,0.6392197006309952,0.6342201936291573,-0.004999507001837933,0.6447091702971868,0.6457207641952183,0.0010115938980315153,0.0002754441536978378,0.0001377220768489189,-0.0001377220768489189,0.9978560900442182,0.9986600562776363,0.000803966233418163,0.49499249400148204,0.49228846424993716,-0.0027040297515448786,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,jpeg,90.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.49402336321651724,0.4936158652540071,-0.00040749796251016157,6.791632708502693e-05,0.00013583265417005386,sid_b_robust,sid_convnext_robust,0.49402336321651724,0.4936158652540071,-0.00040749796251016157,6.791632708502693e-05,0.00013583265417005386,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7259,7259,0.0,2,2,0.0,7448,7454,6.0,15,9,-6.0,0.49402336321651724,0.4936158652540071,-0.00040749796251016157,0.5008672357149239,0.5004652525982147,-0.000401983116709137,0.8823529411764706,0.8181818181818182,-0.06417112299465233,0.002009915583545491,0.0012059493501272946,-0.0008039662334181966,0.004010695187165776,0.002408348943002408,-0.0016023462441633676,0.6370089134399861,0.6318930448468885,-0.00511586859309765,0.6425593352535219,0.6418111692938002,-0.0007481659597217138,0.0002754441536978378,0.0002754441536978378,0.0,0.9979900844164545,0.9987940506498727,0.000803966233418163,0.4959787562322284,0.49267004124654623,-0.003308714985682193,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,jpeg,70.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.49402336321651724,0.493480032599837,-0.0005433306166802154,6.791632708502693e-05,0.0002716653083401077,sid_b_robust,sid_convnext_robust,0.49402336321651724,0.493480032599837,-0.0005433306166802154,6.791632708502693e-05,0.0002716653083401077,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7259,7260,1.0,2,1,-1.0,7448,7457,9.0,15,6,-9.0,0.49402336321651724,0.493480032599837,-0.0005433306166802154,0.5008672357149239,0.5003331220782846,-0.000534113636639244,0.8823529411764706,0.8571428571428571,-0.025210084033613467,0.002009915583545491,0.0008039662334181965,-0.0012059493501272948,0.004010695187165776,0.001606425702811245,-0.002404269484354531,0.6505028350577629,0.6406697869522698,-0.009833048105493014,0.6542999752411548,0.6489297947093564,-0.005370180531798385,0.0002754441536978378,0.0001377220768489189,-0.0001377220768489189,0.9979900844164545,0.9991960337665818,0.0012059493501273,0.4962109933563444,0.4936855288235455,-0.0025254645327988934,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,jpeg,50.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.4936158652540071,0.49320836729149686,-0.0004074979625102171,0.0004754142895951885,0.0005433306166802709,sid_b_robust,sid_convnext_robust,0.4936158652540071,0.49320836729149686,-0.0004074979625102171,0.0004754142895951885,0.0005433306166802709,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7261,7261,0.0,0,0,0.0,7456,7462,6.0,7,1,-6.0,0.4936158652540071,0.49320836729149686,-0.0004074979625102171,0.5004689803028273,0.5000669971861181,-0.000401983116709137,1.0,1.0,0.0,0.0009379606056545625,0.00013399437223636607,-0.0008039662334181964,0.0018741633199464524,0.0002679528403001072,-0.0016062104796463453,0.6326603522426195,0.6262738069532136,-0.006386545289405965,0.6317405628292371,0.6277883300869953,-0.003952232742241768,0.0,0.0,0.0,0.9990620393943455,0.9998660056277636,0.000803966233418163,0.49954595513044997,0.49551637223462097,-0.004029582895828998,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,jpeg,30.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.4938875305623472,0.4933441999456669,-0.0005433306166802709,0.00020374898125508079,0.0004074979625102171,sid_b_robust,sid_convnext_robust,0.4938875305623472,0.4933441999456669,-0.0005433306166802709,0.00020374898125508079,0.0004074979625102171,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7261,7259,-2.0,0,2,2.0,7452,7458,6.0,11,5,-6.0,0.4938875305623472,0.4933441999456669,-0.0005433306166802709,0.5007369690473,0.500197263853742,-0.0005397051935580599,1.0,0.7142857142857143,-0.2857142857142857,0.0014739380946000268,0.0006699718611818304,-0.0008039662334181964,0.0029435375970029436,0.0013386880856760374,-0.0016048495113269062,0.6091615205735247,0.6101238127560686,0.0009622921825439557,0.6100136742035838,0.6128657427651265,0.002852068561542742,0.0,0.0002754441536978378,0.0002754441536978378,0.9985260619053999,0.9993300281388182,0.000803966233418274,0.49618333761009326,0.49055115922854614,-0.005632178381547115,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,blur,0.5,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.4936837815810921,0.493480032599837,-0.00020374898125508079,0.00040749796251016157,0.0002716653083401077,sid_b_robust,sid_convnext_robust,0.4936837815810921,0.493480032599837,-0.00020374898125508079,0.00040749796251016157,0.0002716653083401077,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7258,7260,2.0,3,1,-2.0,7452,7457,5.0,11,6,-5.0,0.4936837815810921,0.493480032599837,-0.00020374898125508079,0.5005303859320266,0.5003331220782846,-0.00019726385374196909,0.7857142857142857,0.8571428571428571,0.0714285714285714,0.0014739380946000268,0.0008039662334181965,-0.0006699718611818303,0.002942356560117694,0.001606425702811245,-0.001335930857306449,0.5575777379118428,0.6193900744476127,0.061812336535769896,0.5618335311929137,0.6366706127281991,0.07483708153528545,0.0004131662305467566,0.0001377220768489189,-0.00027544415369783773,0.9985260619053999,0.9991960337665818,0.000669971861181895,0.49669112649131125,0.4941449657986668,-0.0025461606926444613,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,blur,1.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.4993208367291497,0.49381961423526216,-0.005501222493887514,-0.0052295571855474066,-6.791632708502693e-05,sid_b_robust,sid_convnext_robust,0.4993208367291497,0.49381961423526216,-0.005501222493887514,-0.0052295571855474066,-6.791632708502693e-05,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7208,7257,49.0,53,4,-49.0,7319,7449,130.0,144,14,-130.0,0.4993208367291497,0.49381961423526216,-0.005501222493887514,0.505997959764522,0.5006625164519567,-0.005335443312565302,0.7309644670050761,0.7777777777777778,0.04681331077270168,0.019295189602036713,0.001875921211309125,-0.017419268390727587,0.03759791122715405,0.0037428151316668897,-0.03385509609548716,0.5355474096392868,0.5956232817150202,0.060075872075733394,0.5419898006062893,0.6017153798501604,0.05972557924387112,0.0072992700729927005,0.0005508883073956756,-0.0067483817655970245,0.9807048103979633,0.9981240787886909,0.017419268390727605,0.4354094369195414,0.4835163429103903,0.04810690599084888,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,blur,2.0,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.5004074979625102,0.49293670198315676,-0.007470795979353406,-0.006316218418907893,0.0008149959250203787,sid_b_robust,sid_convnext_robust,0.5004074979625102,0.49293670198315676,-0.007470795979353406,-0.006316218418907893,0.0008149959250203787,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,6783,7224,441.0,478,37,-441.0,6878,7429,551.0,585,34,-551.0,0.5004074979625102,0.49293670198315676,-0.007470795979353406,0.5062777775122455,0.4997300459063132,-0.00654773160593225,0.5503292568203199,0.4788732394366197,-0.07145601738370017,0.07838670775827415,0.004555808656036446,-0.07383089910223771,0.13722730471498945,0.009025749933634192,-0.12820155478135525,0.5015351868649418,0.5136219368994462,0.012086750034504434,0.5161968203979077,0.5229593402079198,0.00676251981001208,0.06583115273378322,0.005095716843409998,-0.060735435890373224,0.9216132922417258,0.9954441913439636,0.07383089910223772,0.33475991271547145,0.4623508732189792,0.12759096050350777,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,resize,0.5,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.4965362673186634,0.4936158652540071,-0.0029204020646563245,-0.002444987775061136,0.00013583265417005386,sid_b_robust,sid_convnext_robust,0.4965362673186634,0.4936158652540071,-0.0029204020646563245,-0.002444987775061136,0.00013583265417005386,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,7241,7257,16.0,20,4,-16.0,7393,7452,59.0,70,11,-59.0,0.4965362673186634,0.4936158652540071,-0.0029204020646563245,0.5033125822597836,0.5004615248936022,-0.0028510573661814087,0.7777777777777778,0.7333333333333333,-0.04444444444444451,0.009379606056545624,0.0014739380946000268,-0.007905667961945598,0.018535681186283594,0.002941963091735758,-0.015593718094547836,0.5592004520192468,0.5891715292758696,0.029971077256622736,0.562990577975775,0.5934243439418976,0.030433765966122572,0.002754441536978378,0.0005508883073956756,-0.0022035532295827023,0.9906203939434544,0.9985260619053999,0.007905667961945584,0.45128854451212896,0.4875118907573147,0.03622334624518575,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,resize,0.25,sid_b_robust,SID B - EfficientNet robustness SID training,sid_convnext_robust,SID ConvNeXt - robustness SID training,sid_convnext_robust minus sid_b_robust,0.5028524857375714,0.493480032599837,-0.009372453137734327,-0.008761206193969084,0.0002716653083401077,sid_b_robust,sid_convnext_robust,0.5028524857375714,0.493480032599837,-0.009372453137734327,-0.008761206193969084,0.0002716653083401077,sid_b_robust,sid_b_robust,14724,14724,0.5,0.5,6844,7251,407.0,417,10,-407.0,6903,7448,545.0,560,15,-545.0,0.5028524857375714,0.493480032599837,-0.009372453137734327,0.5088033712031829,0.5003163474075282,-0.008487023795654691,0.5731832139201638,0.6,0.026816786079836175,0.075036848452365,0.002009915583545491,-0.0730269328688195,0.13270142180094788,0.004006410256410256,-0.1286950115445376,0.5045538063988559,0.5363335493249044,0.03177974292604846,0.523732526805692,0.5418961583989268,0.018163631593234753,0.05743010604599917,0.001377220768489189,-0.056052885277509984,0.924963151547635,0.9979900844164545,0.07302693286881956,0.34976340253757787,0.47568628677229974,0.12592288423472187,SID B - EfficientNet robustness SID training,SID ConvNeXt - robustness SID training
