model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
sid_b_robust,SID B - EfficientNet robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,clean,,,14724,0.5,7259,2,7447,16,0.49409127954360227,0.500934232901042,0.8888888888888888,0.002143909955781857,0.004277503007619302,0.6392197006309952,0.6447091702971868,0.0002754441536978378,0.9978560900442182,0.49499249400148204
sid_convnext_robust,SID ConvNeXt - robustness SID training,convnext_tiny,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,val,clean,,,14724,0.5,7260,1,7453,10,0.49375169790817713,0.5006011108227574,0.9090909090909091,0.0013399437223636608,0.002675943270002676,0.6342201936291573,0.6457207641952183,0.0001377220768489189,0.9986600562776363,0.49228846424993716
sid_b_robust,SID B - EfficientNet robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,90.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6370089134399861,0.6425593352535219,0.0002754441536978378,0.9979900844164545,0.4959787562322284
sid_convnext_robust,SID ConvNeXt - robustness SID training,convnext_tiny,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,val,jpeg,90.0,,14724,0.5,7259,2,7454,9,0.4936158652540071,0.5004652525982147,0.8181818181818182,0.0012059493501272946,0.002408348943002408,0.6318930448468885,0.6418111692938002,0.0002754441536978378,0.9987940506498727,0.49267004124654623
sid_b_robust,SID B - EfficientNet robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,70.0,,14724,0.5,7259,2,7448,15,0.49402336321651724,0.5008672357149239,0.8823529411764706,0.002009915583545491,0.004010695187165776,0.6505028350577629,0.6542999752411548,0.0002754441536978378,0.9979900844164545,0.4962109933563444
sid_convnext_robust,SID ConvNeXt - robustness SID training,convnext_tiny,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,val,jpeg,70.0,,14724,0.5,7260,1,7457,6,0.493480032599837,0.5003331220782846,0.8571428571428571,0.0008039662334181965,0.001606425702811245,0.6406697869522698,0.6489297947093564,0.0001377220768489189,0.9991960337665818,0.4936855288235455
sid_b_robust,SID B - EfficientNet robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,50.0,,14724,0.5,7261,0,7456,7,0.4936158652540071,0.5004689803028273,1.0,0.0009379606056545625,0.0018741633199464524,0.6326603522426195,0.6317405628292371,0.0,0.9990620393943455,0.49954595513044997
sid_convnext_robust,SID ConvNeXt - robustness SID training,convnext_tiny,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,val,jpeg,50.0,,14724,0.5,7261,0,7462,1,0.49320836729149686,0.5000669971861181,1.0,0.00013399437223636607,0.0002679528403001072,0.6262738069532136,0.6277883300869953,0.0,0.9998660056277636,0.49551637223462097
sid_b_robust,SID B - EfficientNet robustness SID training,efficientnet_b0,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,30.0,,14724,0.5,7261,0,7452,11,0.4938875305623472,0.5007369690473,1.0,0.0014739380946000268,0.0029435375970029436,0.6091615205735247,0.6100136742035838,0.0,0.9985260619053999,0.49618333761009326
sid_convnext_robust,SID ConvNeXt - robustness SID training,convnext_tiny,Single-transform robustness evaluation — SID B - EfficientNet robustness SID training vs SID ConvNeXt - robustness SID training,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,val,jpeg,30.0,,14724,0.5,7259,2,7458,5,0.4933441999456669,0.500197263853742,0.7142857142857143,0.0006699718611818304,0.0013386880856760374,0.6101238127560686,0.6128657427651265,0.0002754441536978378,0.9993300281388182,0.49055115922854614
