transform,severity,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model
clean,,experiment_a,experiment_b,0.9831567508829122,0.980304265145341,-0.002852485737571242,0.0,0.0,experiment_a
jpeg,90.0,experiment_a,experiment_b,0.982613420266232,0.9799646835099158,-0.0026487367563161612,0.0005433306166802154,0.00033958163542513464,experiment_a
jpeg,70.0,experiment_a,experiment_b,0.9806438467807661,0.9805759304536811,-6.791632708502693e-05,0.0025129041021461074,-0.0002716653083401077,experiment_a
jpeg,50.0,experiment_a,experiment_b,0.965294756859549,0.9734447161097528,0.008149959250203787,0.017861994023363192,0.006859549035588164,experiment_b
jpeg,30.0,experiment_a,experiment_b,0.9288916055419723,0.9646155935886987,0.035723988046726496,0.05426514534093996,0.01568867155664222,experiment_b
blur,0.5,experiment_a,experiment_b,0.8533007334963325,0.9752784569410486,0.12197772344471614,0.1298560173865797,0.005025808204292326,experiment_b
blur,1.0,experiment_a,experiment_b,0.6583808747622929,0.958910622113556,0.30052974735126314,0.3247758761206193,0.021393643031784926,experiment_b
blur,2.0,experiment_a,experiment_b,0.5774925292040206,0.9176854115729421,0.34019288236892153,0.4056642216788916,0.06261885357239882,experiment_b
resize,0.5,experiment_a,experiment_b,0.6233360499864168,0.9535452322738386,0.3302091822874218,0.3598207008964954,0.026759032871502386,experiment_b
resize,0.25,experiment_a,experiment_b,0.6074436294485194,0.9137462646020104,0.306302635153491,0.37571312143439284,0.06655800054333061,experiment_b
noise,0.02,experiment_a,experiment_b,0.9659060038033143,0.976297201847324,0.010391198044009786,0.01725074707959795,0.004007063298016922,experiment_b
noise,0.05,experiment_a,experiment_b,0.8816218418907905,0.9683509915783755,0.08672914968758494,0.1015349089921217,0.011953273566965517,experiment_b
noise,0.1,experiment_a,experiment_b,0.5366748166259169,0.9491306710133116,0.41245585438739474,0.44648193425699534,0.03117359413202936,experiment_b
colour,-0.2,experiment_a,experiment_b,0.9524585710404782,0.969505569138821,0.01704699809834287,0.03069817984243406,0.010798696006519948,experiment_b
colour,0.2,experiment_a,experiment_b,0.9513719098071176,0.9633930997011682,0.012021189894050544,0.0317848410757946,0.016911165444172815,experiment_b
crop,0.8,experiment_a,experiment_b,0.765213257267047,0.9595897853844064,0.1943765281173594,0.21794349361586518,0.020714479760934545,experiment_b
