transform,severity,severity_label,condition_type,seen_in_training,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_auroc,model_b_auroc,b_minus_a_auroc,model_a_drop_from_clean,model_b_drop_from_clean,model_a_auroc_drop_from_clean,model_b_auroc_drop_from_clean,better_model
clean,,,single,True,robustness,consistency,0.980304265145341,0.9821380059766368,0.001833740831295838,0.9980463229303492,0.9984020050031333,0.00035568207278402486,0.0,0.0,0.0,0.0,consistency
jpeg,90.0,,single,True,robustness,consistency,0.9799646835099158,0.9807796794349362,0.0008149959250203231,0.9978934685872515,0.9981135415642663,0.0002200729770148735,0.00033958163542513464,0.0013583265417006496,0.00015285434309775248,0.00028846343886690384,consistency
jpeg,70.0,,single,True,robustness,consistency,0.9805759304536811,0.9809834284161912,0.00040749796251016157,0.9981034841434058,0.9983241199669092,0.00022063582350340116,-0.0002716653083401077,0.0011545775604455688,-5.7161213056544646e-05,7.788503622407905e-05,consistency
jpeg,50.0,,single,True,robustness,consistency,0.9734447161097528,0.971678891605542,-0.0017658245042108112,0.9963672042232015,0.9958498191223607,-0.0005173851008407615,0.006859549035588164,0.010459114371094813,0.0016791187071477642,0.0025521858807725506,robustness
jpeg,30.0,,single,True,robustness,consistency,0.9646155935886987,0.9604047813094267,-0.004210812279272003,0.9943841299582645,0.9937926059797956,-0.0005915239784689552,0.01568867155664222,0.02173322466721006,0.003662192972084699,0.004609399023337679,robustness
blur,0.5,,single,True,robustness,consistency,0.9752784569410486,0.9733088834555828,-0.001969573485465892,0.9972353903182616,0.99729456301549,5.9172697228437876e-05,0.005025808204292326,0.008829122521054056,0.0008109326120876448,0.0011074419876432318,robustness
blur,1.0,,single,True,robustness,consistency,0.958910622113556,0.9533414832925835,-0.005569138820972541,0.9933270765718324,0.9915579393344864,-0.0017691372373459524,0.021393643031784926,0.028796522684053305,0.004719246358516838,0.006844065668646815,robustness
blur,2.0,,single,True,robustness,consistency,0.9176854115729421,0.9113012768269492,-0.006384134745992975,0.9767689264005877,0.9726281478274043,-0.004140778573183401,0.06261885357239882,0.07083672914968764,0.021277396529761572,0.025773857175728998,robustness
resize,0.5,,single,True,robustness,consistency,0.9535452322738386,0.9540885628905189,0.0005433306166803265,0.993236772004894,0.9920316992189703,-0.0012050727859237442,0.026759032871502386,0.028049443086117898,0.004809550925455208,0.006370305784162977,consistency
resize,0.25,,single,True,robustness,consistency,0.9137462646020104,0.9096033686498234,-0.004142895952186976,0.9754123279583584,0.9704157551398542,-0.004996572818504186,0.06655800054333061,0.07253463732681342,0.022633994971990812,0.027986249863279022,robustness
noise,0.02,,single,True,robustness,consistency,0.976297201847324,0.9777234447161097,0.0014262428687856765,0.9974292955470557,0.9979937752131007,0.0005644796660450035,0.004007063298016922,0.004414561260527083,0.0006170273832935003,0.0004082297900325216,consistency
noise,0.05,,single,True,robustness,consistency,0.9683509915783755,0.9719505569138821,0.0035995653355066493,0.9959682844677087,0.996745529333409,0.0007772448657002995,0.011953273566965517,0.010187449062754705,0.0020780384626405413,0.0016564756697242666,consistency
noise,0.1,,single,True,robustness,consistency,0.9491306710133116,0.94573485465906,-0.0033958163542515685,0.9900800889954414,0.9899424315075338,-0.00013765748790761645,0.03117359413202936,0.036403151317576765,0.007966233934907807,0.008459573495599448,robustness
colour,-0.2,,single,True,robustness,consistency,0.969505569138821,0.9704563977180114,0.000950828579190377,0.9962850286358762,0.9965596977222784,0.00027466908640216836,0.010798696006519948,0.011681608258625409,0.0017612942944730259,0.0018423072808548824,consistency
colour,0.2,,single,True,robustness,consistency,0.9633930997011682,0.9654305895137191,0.002037489812550919,0.9959047104954798,0.9957637405175822,-0.00014096997789758703,0.016911165444172815,0.016707416462917735,0.002141612434869433,0.002638264485551045,consistency
crop,0.8,,single,True,robustness,consistency,0.9595897853844064,0.9614914425427873,0.001901657158380865,0.9932999861244499,0.9939911339313889,0.0006911478069390187,0.020714479760934545,0.02064656343384952,0.004746336805899309,0.004410871071744316,consistency
resize_0.5_jpeg_70,,,chain,True,robustness,consistency,0.9547677261613692,0.9469573485465906,-0.007810377614778541,0.9915689655894665,0.9902084456758007,-0.0013605199136658142,0.02553653898397179,0.03518065743004617,0.006477357340882728,0.008193559327332567,robustness
resize_0.25_jpeg_50,,,chain,False,robustness,consistency,0.889024721543059,0.8786335234990492,-0.010391198044009786,0.9633146623927733,0.9576616721637699,-0.005652990229003452,0.09127954360228197,0.10350448247758759,0.034731660537575926,0.0407403328393634,robustness
crop_0.8_colour_plus20_jpeg_50,,,chain,False,robustness,consistency,0.9332382504754143,0.9193154034229829,-0.013922847052431409,0.9857564037674694,0.9836129828422432,-0.002143420925226236,0.04706601466992666,0.0628226025536539,0.012289919162879803,0.014789022160890064,robustness
screenshot_resample_jpeg_70,,,chain,False,robustness,consistency,0.9502173322466722,0.9404373811464276,-0.009779951100244544,0.9909193300178044,0.9892291296937268,-0.0016902003240776287,0.030086932898668817,0.0417006248302092,0.007126992912544816,0.00917287530940647,robustness
repeated_jpeg_90_70_50,,,chain,False,robustness,consistency,0.971678891605542,0.9722222222222222,0.0005433306166802154,0.9970276169210699,0.9969472867320677,-8.033018900222011e-05,0.008625373539798975,0.009915783754414598,0.0010187060092793354,0.0014547182710655804,consistency
