model_id,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,clean,,,14724,0.5,7118,143,105,7358,0.983156751,0.983118167,0.980935875,0.985930591,0.983426891,0.998351284,0.998241303,0.019694257,0.014069409,0.01330663
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,clean,,,14724,0.5,7066,195,95,7368,0.980304265,0.980207365,0.974216581,0.987270535,0.98070012,0.998046323,0.997917947,0.026855805,0.012729465,0.015265673
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,jpeg,90,,14724,0.5,7126,135,121,7342,0.98261342,0.9825971,0.98194463,0.983786681,0.982864793,0.998079983,0.997976636,0.01859248,0.016213319,0.014115017
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,jpeg,90,,14724,0.5,7077,184,111,7352,0.979964684,0.979892881,0.975583864,0.985126625,0.980332022,0.997893469,0.99787649,0.025340862,0.014873375,0.015340639
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,jpeg,70,,14724,0.5,7051,210,75,7388,0.980643847,0.980514393,0.972361148,0.989950422,0.981076954,0.997977591,0.997683732,0.028921636,0.010049578,0.015429663
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,jpeg,70,,14724,0.5,7061,200,86,7377,0.98057593,0.980466034,0.973604329,0.988476484,0.980984043,0.998103484,0.998102001,0.027544415,0.011523516,0.015239571
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,jpeg,50,,14724,0.5,6960,301,210,7253,0.965294757,0.965203418,0.960153561,0.971861182,0.965971899,0.994041126,0.993803104,0.041454345,0.028138818,0.027474287
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,jpeg,50,,14724,0.5,7060,201,190,7273,0.973444716,0.973429466,0.97310677,0.974541069,0.973823392,0.996367204,0.996315485,0.027682137,0.025458931,0.020239841
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,jpeg,30,,14724,0.5,7115,146,901,6562,0.928891606,0.929581824,0.978234943,0.879271071,0.926116717,0.98803835,0.988697274,0.020107423,0.120728929,0.056874375
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,jpeg,30,,14724,0.5,7013,248,273,7190,0.964615594,0.964632231,0.966657704,0.963419536,0.965035904,0.99438413,0.994529057,0.034155075,0.036580464,0.026705506
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,blur,0.5,,14724,0.5,7243,18,2142,5321,0.853300733,0.855252529,0.996628582,0.712984055,0.831276363,0.993592297,0.993670634,0.002478997,0.287015945,0.118251964
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,blur,0.5,,14724,0.5,7149,112,252,7211,0.975278457,0.975404273,0.984705722,0.966233418,0.975382118,0.99723539,0.997332506,0.015424873,0.033766582,0.019383862
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,blur,1,,14724,0.5,6624,637,4393,3070,0.658380875,0.66181688,0.828162935,0.411362723,0.549686661,0.803951424,0.798494655,0.087728963,0.588637277,0.289508888
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,blur,1,,14724,0.5,6895,366,239,7224,0.958910622,0.958784532,0.951778656,0.967975345,0.959808676,0.993327077,0.993590078,0.05040628,0.032024655,0.030627648
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,blur,2,,14724,0.5,1244,6017,204,7259,0.577492529,0.571995706,0.546776137,0.972665148,0.700033753,0.770696636,0.787565528,0.828673736,0.027334852,0.344906534
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,blur,2,,14724,0.5,6585,676,536,6927,0.917685412,0.917539446,0.911087729,0.928179016,0.919553963,0.976768926,0.978015014,0.093100124,0.071820984,0.059354837
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,resize,0.5,,14724,0.5,7065,196,5350,2113,0.62333605,0.628068291,0.915114768,0.283130109,0.43246009,0.848836549,0.842063148,0.026993527,0.716869891,0.337085843
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,resize,0.5,,14724,0.5,6752,509,175,7288,0.953545232,0.953225224,0.934718481,0.976550985,0.955176933,0.9932368,0.993528274,0.070100537,0.023449015,0.033364258
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,resize,0.25,,14724,0.5,2002,5259,521,6942,0.607443629,0.602954265,0.568969757,0.930188932,0.706061839,0.747798288,0.759022901,0.724280402,0.069811068,0.31329362
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,resize,0.25,,14724,0.5,6484,777,493,6970,0.913746265,0.91346536,0.899703111,0.933940774,0.916502301,0.975412374,0.976668138,0.107010054,0.066059226,0.061617565
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,noise,0.02,42,14724,0.5,7136,125,377,7086,0.965906004,0.966134431,0.982665372,0.949484122,0.965789832,0.995988159,0.995966454,0.01721526,0.050515878,0.026049833
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,noise,0.02,42,14724,0.5,7016,245,104,7359,0.976297202,0.976161338,0.967780116,0.986064585,0.976836796,0.997429296,0.997328965,0.033741909,0.013935415,0.017950069
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,noise,0.05,42,14724,0.5,5811,1450,293,7170,0.881621842,0.880521319,0.831786543,0.960739649,0.891624697,0.964573796,0.964507063,0.199697011,0.039260351,0.093022424
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,noise,0.05,42,14724,0.5,6938,323,143,7320,0.968350992,0.968177287,0.957739108,0.980838805,0.969151331,0.995968284,0.996011921,0.044484231,0.019161195,0.024142321
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,noise,0.1,42,14724,0.5,445,6816,6,7457,0.536674817,0.530241179,0.522454985,0.999196034,0.686142805,0.815382772,0.774645811,0.938713676,0.000803966,0.447161254
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,noise,0.1,42,14724,0.5,6805,456,293,7170,0.949130671,0.948969191,0.940204563,0.960739649,0.95036119,0.990080089,0.99055293,0.062801267,0.039260351,0.038364001
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,colour,-0.2,,14724,0.5,7118,143,557,6906,0.952458571,0.952835439,0.979713435,0.925365135,0.951764057,0.993892424,0.993563879,0.019694257,0.074634865,0.036253041
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,colour,-0.2,,14724,0.5,7128,133,316,7147,0.969505569,0.969670371,0.981730769,0.957657778,0.969544869,0.996285029,0.99628028,0.018317036,0.042342222,0.023204626
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,colour,0.2,,14724,0.5,6633,628,88,7375,0.95137191,0.950859515,0.921529426,0.988208495,0.953704901,0.993860563,0.99289773,0.086489464,0.011791505,0.039292547
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,colour,0.2,,14724,0.5,6803,458,81,7382,0.9633931,0.963034872,0.941581633,0.989146456,0.964778148,0.99590471,0.995981463,0.063076711,0.010853544,0.028120503
experiment_a,e0699213efe17ef85d377d9d9d962f087d79d46f2d33d84fc6b027d8919be28d,val,crop,0.8,,14724,0.5,7238,23,3434,4029,0.765213257,0.768347859,0.994323791,0.539863326,0.699782892,0.981250402,0.981395044,0.003167608,0.460136674,0.199437969
experiment_b,e141e013c8f794eb59d16f2d46b122dddf291567f10a438f133dca61a75a40df,val,crop,0.8,,14724,0.5,6988,273,322,7141,0.959589785,0.959627843,0.963177772,0.956853812,0.960005377,0.993299986,0.993564501,0.037598127,0.043146188,0.029556832
