condition_id,model_id,checkpoint_hash,architecture,split,transform,severity,seed,mean_latency_ms,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
clean,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,clean,,,1.2879844243974872,5099,0.5,2587,9,2,2501,0.9978427142576975,0.9978670433692204,0.996414342629482,0.9992009588493808,0.997805705166567,0.9999333619379396,0.9999356572371612,0.0034668721109399,0.0007990411506192,0.0017626576280526
clean,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,clean,,,4.8537142886826405,5099,0.5,2589,7,3,2500,0.9980388311433614,0.9980524910938924,0.997207818109294,0.9988014382740712,0.998003992015968,0.9999829172635364,0.9999824803524052,0.0026964560862865,0.0011985617259288,0.0013751257114405
clean,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,clean,,,4.447439915865544,5099,0.5,2530,66,69,2434,0.9735242204353796,0.973504675745038,0.9736,0.9724330803036356,0.9730161902858284,0.9965482099446764,0.996650322350499,0.0254237288135593,0.0275669196963643,0.0202529046658817
jpeg_90,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,jpeg,90.0,,1.0954599343005444,5099,0.5,2587,9,2,2501,0.9978427142576975,0.9978670433692204,0.996414342629482,0.9992009588493808,0.997805705166567,0.9999345931261532,0.999936096934684,0.0034668721109399,0.0007990411506192,0.0017609463922677
jpeg_90,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,jpeg,90.0,,4.010982622277844,5099,0.5,2589,7,3,2500,0.9980388311433614,0.9980524910938924,0.997207818109294,0.9988014382740712,0.998003992015968,0.9999830711620632,0.9999826511334122,0.0026964560862865,0.0011985617259288,0.0013495464149992
jpeg_90,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,jpeg,90.0,,4.337532523434866,5099,0.5,2530,66,69,2434,0.9735242204353796,0.973504675745038,0.9736,0.9724330803036356,0.9730161902858284,0.9965592906385988,0.9966595304202064,0.0254237288135593,0.0275669196963643,0.0202406035125722
jpeg_70,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,jpeg,70.0,,1.0927803753669971,5099,0.5,2589,7,6,2497,0.99745048048637,0.997453210230928,0.9972044728434504,0.9976028765481424,0.9974036349111244,0.9998978113782722,0.9999013481586896,0.0026964560862865,0.0023971234518577,0.0018451239272425
jpeg_70,convnext_sid_b,758444e568d117bba2345df8ce705ea0cce77da31fe58a9a266732eb97764bef,convnext_tiny,val,jpeg,70.0,,4.006508070406054,5099,0.5,2591,5,3,2500,0.9984310649146892,0.9984376991062188,0.998003992015968,0.9988014382740712,0.9984025559105432,0.99998461014733,0.9999841613847146,0.0019260400616332,0.0011985617259288,0.0011803000185808
jpeg_70,dino_sid_b,71bb0fc142b8cb9f19902eb3f8a8c374ad787a755b697c8b5dd1d271d81d01fd,dinov2_vits14,val,jpeg,70.0,,4.296010623454957,5099,0.5,2539,57,69,2434,0.9752892724063542,0.975238111800508,0.9771176234443998,0.9724330803036356,0.974769723668402,0.9965619069135526,0.996659909514446,0.0219568567026194,0.0275669196963643,0.0199672848976989
jpeg_50,effnet_sid_b,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,efficientnet_b0,val,jpeg,50.0,,1.0917917819145786,5099,0.5,2590,6,7,2496,0.99745048048637,0.9974460539494364,0.9976019184652278,0.9972033559728326,0.9974025974025974,0.9998690323537796,0.9998706887912524,0.0023112480739599,0.0027966440271673,0.0020929638016302
