condition_id,n,both_correct,both_wrong,effnet_only_correct,convnext_only_correct,convnext_minus_effnet_accuracy_pp,discordant_pairs,mcnemar_exact_p
clean,5099,5080,2,8,9,0.019611688566385566,17,1.0
jpeg_90,5099,5080,2,8,9,0.019611688566385566,17,1.0
jpeg_70,5099,5081,3,5,10,0.09805844283192783,15,0.30175781249999994
jpeg_50,5099,5081,2,5,11,0.11767013139831341,16,0.210113525390625
jpeg_30,5099,5082,4,4,9,0.09805844283192783,13,0.266845703125
blur_0.5,5099,5081,2,8,8,0.0,16,1.0
blur_1,5099,5085,2,5,7,0.03922337713277113,12,0.7744140625
blur_2,5099,5081,1,6,11,0.09805844283192783,17,0.332305908203125
resize_0.5,5099,5085,2,5,7,0.03922337713277113,12,0.7744140625
resize_0.25,5099,5081,1,6,11,0.09805844283192783,17,0.332305908203125
noise_0.02,5099,5079,1,12,7,-0.09805844283192783,19,0.359283447265625
noise_0.05,5099,5062,5,18,14,-0.07844675426554226,32,0.5966148958541453
noise_0.1,5099,5051,9,19,20,0.019611688566385566,39,1.0
colour_-0.2,5099,5075,3,9,12,0.058835065699156704,21,0.6636238098144531
colour_0.2,5099,5071,5,7,16,0.1765051970974701,23,0.0931396484375
crop_0.8,5099,5079,2,9,9,0.0,18,1.0
