evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> colour -> crop,sid_a_clean,SID A — EfficientNet clean training,5,200,0.5,114,1,5,80,0.97,0.9662404092071611,0.9876543209876543,0.9411764705882353,0.963855421686747,0.9976470588235294,0.9963635324266085,0.008695652173913044,0.058823529411764705,0.026789412053263097
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> colour -> jpeg,sid_a_clean,SID A — EfficientNet clean training,5,216,0.5,98,0,12,106,0.9444444444444444,0.9491525423728814,1.0,0.8983050847457628,0.9464285714285714,0.99974057419578,0.9997869386191708,0.0,0.1016949152542373,0.04362794482586315
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> colour -> noise,sid_a_clean,SID A — EfficientNet clean training,5,205,0.5,101,0,64,40,0.6878048780487804,0.6923076923076923,1.0,0.38461538461538464,0.5555555555555556,0.9838156892612339,0.9880610411054044,0.0,0.6153846153846154,0.26923809191402764
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> colour -> resize,sid_a_clean,SID A — EfficientNet clean training,5,218,0.5,118,0,6,94,0.9724770642201835,0.97,1.0,0.94,0.9690721649484536,0.9993220338983051,0.9991955913991388,0.0,0.06,0.021400657151966086
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> crop -> colour,sid_a_clean,SID A — EfficientNet clean training,5,209,0.5,99,0,5,105,0.9760765550239234,0.9772727272727273,1.0,0.9545454545454546,0.9767441860465116,0.9996326905417815,0.9996810207336521,0.0,0.045454545454545456,0.018256713661952896
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> crop -> jpeg,sid_a_clean,SID A — EfficientNet clean training,5,196,0.5,99,0,18,79,0.9081632653061225,0.9072164948453608,1.0,0.8144329896907216,0.8977272727272727,0.9985421222534625,0.9986241449079872,0.0,0.18556701030927836,0.0719700033500365
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> crop -> noise,sid_a_clean,SID A — EfficientNet clean training,5,207,0.5,98,0,66,43,0.6811594202898551,0.6972477064220184,1.0,0.3944954128440367,0.5657894736842105,0.9950383823254072,0.9952360025167919,0.0,0.6055045871559633,0.2783201337831656
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> crop -> resize,sid_a_clean,SID A — EfficientNet clean training,5,220,0.5,112,0,4,104,0.9818181818181818,0.9814814814814814,1.0,0.9629629629629629,0.9811320754716981,1.0,1.0,0.0,0.037037037037037035,0.012653788529272863
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> jpeg -> colour,sid_a_clean,SID A — EfficientNet clean training,5,218,0.5,121,0,12,85,0.944954128440367,0.9381443298969072,1.0,0.8762886597938144,0.9340659340659341,0.9992331941722757,0.9990397315257502,0.0,0.12371134020618557,0.042686934366189526
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,ordered_chain_pattern,blur -> jpeg -> crop,sid_a_clean,SID A — EfficientNet clean training,5,169,0.5,76,0,17,76,0.8994082840236687,0.9086021505376345,1.0,0.8172043010752689,0.8994082840236687,0.9975947934352009,0.998130868202116,0.0,0.1827956989247312,0.08439602498652035
