evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,jpeg,sid_a_clean,SID A — EfficientNet clean training,5,12629,0.5,6391,2,1993,4243,0.8420302478422678,0.8400456315122568,0.9995288574793875,0.6804041051956382,0.8096555672168686,0.9915096159837266,0.9921694553661689,0.00031284217112466763,0.3195958948043618,0.13161862952187958
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,jpeg,sid_b_robust,SID B — EfficientNet robustness training,5,12629,0.5,6386,7,101,6135,0.9914482540185288,0.9913543863673053,0.9988603060892217,0.9838037203335471,0.9912748424624334,0.999822308054823,0.9998299407783485,0.0010949475989363367,0.016196279666452856,0.0064241591664114415
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,blur,sid_a_clean,SID A — EfficientNet clean training,5,12709,0.5,6429,4,1709,4567,0.8652136281375403,0.863535502042577,0.9991249179610588,0.7276927979604844,0.8420761500875819,0.9895812125119275,0.9907751645730677,0.000621793875330328,0.27230720203951564,0.11391321625392806
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,blur,sid_b_robust,SID B — EfficientNet robustness training,5,12709,0.5,6420,13,79,6197,0.992761035486663,0.9926957672342963,0.9979066022544283,0.9874123645634162,0.9926317475572641,0.9998001907587521,0.9998084133343419,0.002020830094823566,0.01258763543658381,0.005452185729471345
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,resize,sid_a_clean,SID A — EfficientNet clean training,5,12671,0.5,6447,3,1716,4505,0.8643358850919423,0.8618474932991406,0.9993345164152617,0.7241601028773509,0.8397800354180259,0.9898064196164778,0.990765828880958,0.00046511627906976747,0.2758398971226491,0.11371148844601608
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,resize,sid_b_robust,SID B — EfficientNet robustness training,5,12671,0.5,6439,11,73,6148,0.9933706889748244,0.9932800629027214,0.9982139957785354,0.9882655521620318,0.9932148626817447,0.9998812225158845,0.9998794025217317,0.0017054263565891472,0.011734447837968173,0.004845583977895907
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,noise,sid_a_clean,SID A — EfficientNet clean training,5,12760,0.5,6479,1,3764,2516,0.7049373040752351,0.7002413108437524,0.9996027016289233,0.40063694267515926,0.5720131863135159,0.9893833058111189,0.9898470197751954,0.00015432098765432098,0.5993630573248407,0.2559036926290007
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,noise,sid_b_robust,SID B — EfficientNet robustness training,5,12760,0.5,6471,9,121,6159,0.9898119122257053,0.9896717975937721,0.9985408560311284,0.9807324840764331,0.9895565552699229,0.9997695506015569,0.9997696428160353,0.001388888888888889,0.019267515923566878,0.0077572402471290545
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,colour,sid_a_clean,SID A — EfficientNet clean training,5,12900,0.5,6646,3,1735,4516,0.8652713178294573,0.8609966066130277,0.9993361363133436,0.7224444088945768,0.8386258124419684,0.9873792970985976,0.9885845859560944,0.0004511956685215822,0.2775555911054231,0.11462040751781974
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,colour,sid_b_robust,SID B — EfficientNet robustness training,5,12900,0.5,6640,9,132,6119,0.9890697674418605,0.9887648958269248,0.9985313315926893,0.9788833786594145,0.9886097423055175,0.9997559121176798,0.9997477816676958,0.0013535870055647466,0.021116621340585506,0.008026260077784304
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,crop,sid_a_clean,SID A — EfficientNet clean training,5,12816,0.5,6533,2,2073,4208,0.8380930087390761,0.8348254844190108,0.9995249406175772,0.6699570132144563,0.8022114193117911,0.9847880084787105,0.986383882891984,0.000306044376434583,0.3300429867855437,0.1393724454812774
Random standard-3 robustness evaluation — SID A — EfficientNet clean training vs SID B — EfficientNet robustness training,SID_SET,random_standard_3,contains_transform,crop,sid_b_robust,SID B — EfficientNet robustness training,5,12816,0.5,6524,11,139,6142,0.9882958801498127,0.988093260945222,0.9982122541849504,0.9778697659608343,0.9879363036834486,0.9997071845756752,0.9997098531963351,0.0016832440703902067,0.02213023403916574,0.008706531504332978
