evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> colour -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,207,0.5,100,0,3,104,0.9855072463768116,0.985981308411215,1.0,0.9719626168224299,0.985781990521327,0.9998130841121495,0.9998285175340822,0.0,0.028037383177570093,0.008703688042877411
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> colour -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,270,0.5,140,1,3,126,0.9851851851851852,0.9848259937324757,0.9921259842519685,0.9767441860465116,0.984375,0.9993402605970642,0.9992654417368407,0.0070921985815602835,0.023255813953488372,0.012256728504957182
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> colour -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,192,0.5,98,0,0,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.003452014050653757
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> colour -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,179,0.5,92,4,1,82,0.9720670391061452,0.9731425702811245,0.9534883720930233,0.9879518072289156,0.9704142011834319,0.9979919678714859,0.9979432435624851,0.041666666666666664,0.012048192771084338,0.01515309990634728
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> crop -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,228,0.5,111,0,5,112,0.9780701754385965,0.9786324786324787,1.0,0.9572649572649573,0.9781659388646288,0.9999229999229999,0.9999275677241779,0.0,0.042735042735042736,0.012078850006267468
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> crop -> jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,185,0.5,85,1,3,96,0.9783783783783784,0.9790345313601128,0.9896907216494846,0.9696969696969697,0.9795918367346939,0.998825463941743,0.9990135735643837,0.011627906976744186,0.030303030303030304,0.013656123545899256
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> crop -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,225,0.5,125,3,1,96,0.9822222222222222,0.9831266108247423,0.9696969696969697,0.9896907216494846,0.9795918367346939,0.9993556701030928,0.9991890660778375,0.0234375,0.010309278350515464,0.010070020475414072
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> crop -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,195,0.5,91,0,0,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0025169703188102736
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> jpeg -> colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,205,0.5,90,0,1,114,0.9951219512195122,0.9956521739130435,1.0,0.991304347826087,0.9956331877729258,0.9999033816425121,0.9999250374812593,0.0,0.008695652173913044,0.004221828602123324
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> jpeg -> crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,218,0.5,114,1,3,100,0.981651376146789,0.981089067116927,0.9900990099009901,0.970873786407767,0.9803921568627451,0.9956943858168004,0.9935000516838741,0.008695652173913044,0.02912621359223301,0.011098469690750193
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> jpeg -> noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,212,0.5,109,0,0,103,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0017260648576479273
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,ordered_chain_pattern,blur -> jpeg -> resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,202,0.5,100,0,3,99,0.9851485148514851,0.9852941176470589,1.0,0.9705882352941176,0.9850746268656716,0.9998039215686274,0.9998086994173263,0.0,0.029411764705882353,0.008903032671616257
