evaluation_title,dataset_id,random_policy,scope,trial_index,trial_seed,model_id,model_title,architecture_override,checkpoint_hash,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,1,42,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5099,0.5,2590,6,50,2453,0.9890174544028241,0.9888563615802792,0.9975599837332249,0.9800239712345186,0.988714228133817,0.9995963241644694,0.9996363490917908,0.0023112480739599386,0.01997602876548142,0.007906387649677583
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,1,42,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5099,0.5,2572,24,41,2462,0.9872524024318494,0.9871873320582327,0.9903459372485921,0.9836196564123052,0.9869713369412708,0.9982684876761136,0.9973783578048431,0.009244992295839754,0.016380343587694766,0.009696631107785457
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,2,43,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5099,0.5,2589,7,43,2460,0.9901941557168072,0.9900620795876998,0.9971625456019457,0.982820615261686,0.9899396378269618,0.9996635778206368,0.999658239662878,0.002696456086286595,0.017179384738314023,0.007897253354172103
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,2,43,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5099,0.5,2571,25,48,2455,0.9856834673465386,0.9855964060384856,0.9899193548387096,0.9808230123851378,0.9853501906482038,0.9984991046183718,0.9976099243867789,0.00963020030816641,0.019176987614862164,0.01068261116171225
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,3,44,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5099,0.5,2592,4,46,2457,0.9901941557168072,0.9900406107432251,0.9983746444534742,0.981622053535757,0.9899274778404512,0.9997919291919034,0.9997909566013122,0.0015408320493066256,0.018377946464242907,0.007034453184555374
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,3,44,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5099,0.5,2569,27,48,2455,0.9852912335752109,0.9852111980261591,0.9891216760676873,0.9808230123851378,0.9849548645937813,0.9985703596362332,0.9984149104452305,0.010400616332819723,0.019176987614862164,0.011145249016009988
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,4,45,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5099,0.5,2592,4,42,2461,0.9909786232594626,0.9908396518938445,0.9983772819472616,0.9832201358369956,0.9907407407407407,0.9996546517060882,0.9996854488462611,0.0015408320493066256,0.016779864163004393,0.007608611746320387
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,4,45,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5099,0.5,2570,26,48,2455,0.9854873504608747,0.9854038020323224,0.9895203546956872,0.9808230123851378,0.9851524879614767,0.9983733695220589,0.9981162948316461,0.010015408320493066,0.019176987614862164,0.011148114506524627
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,5,46,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,5099,0.5,2591,5,40,2463,0.9911747401451265,0.9910465684629908,0.9979740680713128,0.9840191769876149,0.9909474954737477,0.9998005475093986,0.9997934435512338,0.001926040061633282,0.015980823012385136,0.006576363977695522
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,random_trial,5,46,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,5099,0.5,2577,19,44,2459,0.9876446362031771,0.987551071226085,0.9923325262308313,0.9824210946863764,0.9873519373619755,0.9987752755245324,0.997991560461148,0.007318952234206471,0.01757890531362365,0.009184456672309825
