evaluation_title,dataset_id,random_policy,breakdown_type,breakdown_value,model_id,model_title,num_trials_represented,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,jpeg,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12711,0.5,6391,60,106,6154,0.9869404452836126,0.9868831045339084,0.990344383649823,0.9830670926517572,0.9866923200256533,0.9987139349324448,0.9982338158532933,0.009300883583940475,0.01693290734824281,0.009850547896750259
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,jpeg,old_sid_b,Old SID B - SID-only robustness training,5,12711,0.5,6439,12,100,6160,0.9911887341672567,0.9910826911943216,0.9980557355800389,0.9840255591054313,0.990990990990991,0.9997994466023792,0.9997948312238241,0.0018601767167880949,0.01597444089456869,0.006693626098658914
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,blur,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12884,0.5,6508,53,99,6224,0.9882024216081962,0.9881324191664194,0.9915564760235781,0.9843428752174601,0.9879365079365079,0.9983487003787832,0.9973844918746562,0.008078036884621246,0.015657124782539934,0.009206253079182087
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,blur,old_sid_b,Old SID B - SID-only robustness training,5,12884,0.5,6550,11,90,6233,0.9921608196212356,0.9920448382523281,0.9982383087764254,0.9857662501976909,0.9919630779024429,0.9998137408174187,0.999808489425707,0.0016765736930345985,0.01423374980230903,0.006180537478370113
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,resize,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12666,0.5,6434,65,87,6080,0.9879993683878099,0.9879455578764247,0.9894222945484134,0.9858926544511107,0.9876543209876543,0.9987096841157511,0.9985259630849153,0.01000153869826127,0.014107345548889249,0.009290712593781395
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,resize,old_sid_b,Old SID B - SID-only robustness training,5,12666,0.5,6486,13,84,6083,0.9923417021948524,0.9921894034513998,0.9978674540682415,0.9863791146424518,0.9920900269102177,0.999625592571613,0.9996578013154842,0.002000307739652254,0.01362088535754824,0.006241539323755891
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,noise,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12712,0.5,6410,67,140,6095,0.9837161736941472,0.9836009077336015,0.9891269068484259,0.9775461106655974,0.9833024118738405,0.9982018415913493,0.9972371368636194,0.010344295198394318,0.022453889334402566,0.01186792327271193
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,noise,old_sid_b,Old SID B - SID-only robustness training,5,12712,0.5,6459,18,123,6112,0.9889081183134046,0.9887467949944155,0.9970636215334421,0.9802726543704892,0.98859684593611,0.9996548145996584,0.9996621029347452,0.002779064381658175,0.019727345629510826,0.008393300957277527
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,colour,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12891,0.5,6457,57,125,6252,0.9858816228376387,0.9858239613124558,0.9909652876842606,0.9803983064136741,0.9856534762730569,0.998618384527717,0.9982237224716912,0.008750383788762665,0.01960169358632586,0.010755504666619007
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,colour,old_sid_b,Old SID B - SID-only robustness training,5,12891,0.5,6500,14,120,6257,0.9896051508804592,0.9895165785431015,0.9977675011959815,0.9811823741571272,0.9894054395951929,0.9997204847844878,0.9997376832660891,0.0021492170709241634,0.018817625842872825,0.007567508740602264
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,crop,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,5,12621,0.5,6377,61,130,6053,0.9848664923540131,0.9847498077809778,0.9900228982662741,0.9789746077955684,0.9844677563633406,0.9983895957393925,0.9978170471903566,0.009474992233612924,0.021025392204431507,0.011270373862319345
Random standard-3 robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,SID_Set,random_standard_3,contains_transform,crop,old_sid_b,Old SID B - SID-only robustness training,5,12621,0.5,6428,10,146,6037,0.987639648205372,0.9874167949006076,0.9983462874152472,0.9763868672165615,0.9872444807849551,0.9995892594898769,0.9996137371699276,0.0015532774153463808,0.023613132783438462,0.00937528248318055
