evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,old_sid_b__num_samples,mixed_sid_cifake_b__num_samples,old_sid_b__threshold,mixed_sid_cifake_b__threshold,old_sid_b__true_negatives,mixed_sid_cifake_b__true_negatives,mixed_sid_cifake_b_minus_old_sid_b__true_negatives,old_sid_b__false_positives,mixed_sid_cifake_b__false_positives,mixed_sid_cifake_b_minus_old_sid_b__false_positives,old_sid_b__false_negatives,mixed_sid_cifake_b__false_negatives,mixed_sid_cifake_b_minus_old_sid_b__false_negatives,old_sid_b__true_positives,mixed_sid_cifake_b__true_positives,mixed_sid_cifake_b_minus_old_sid_b__true_positives,old_sid_b__accuracy,mixed_sid_cifake_b__accuracy,mixed_sid_cifake_b_minus_old_sid_b__accuracy,old_sid_b__balanced_accuracy,mixed_sid_cifake_b__balanced_accuracy,mixed_sid_cifake_b_minus_old_sid_b__balanced_accuracy,old_sid_b__precision,mixed_sid_cifake_b__precision,mixed_sid_cifake_b_minus_old_sid_b__precision,old_sid_b__recall,mixed_sid_cifake_b__recall,mixed_sid_cifake_b_minus_old_sid_b__recall,old_sid_b__f1,mixed_sid_cifake_b__f1,mixed_sid_cifake_b_minus_old_sid_b__f1,old_sid_b__auroc,mixed_sid_cifake_b__auroc,mixed_sid_cifake_b_minus_old_sid_b__auroc,old_sid_b__auprc,mixed_sid_cifake_b__auprc,mixed_sid_cifake_b_minus_old_sid_b__auprc,old_sid_b__false_positive_rate,mixed_sid_cifake_b__false_positive_rate,mixed_sid_cifake_b_minus_old_sid_b__false_positive_rate,old_sid_b__false_negative_rate,mixed_sid_cifake_b__false_negative_rate,mixed_sid_cifake_b_minus_old_sid_b__false_negative_rate,old_sid_b__brier_score,mixed_sid_cifake_b__brier_score,mixed_sid_cifake_b_minus_old_sid_b__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,clean,,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9978427142576975,0.9931359090017651,-0.004706805255932478,0.0,0.0,old_sid_b,mixed_sid_cifake_b,0.9978427142576975,0.9931359090017651,-0.004706805255932478,0.0,0.0,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2587,2569,-18.0,9,27,18.0,2,8,6.0,2501,2495,-6.0,0.9978427142576975,0.9931359090017651,-0.004706805255932478,0.9978670433692205,0.9932016095323516,-0.004665433836868904,0.996414342629482,0.9892942109436955,-0.007120131685786513,0.9992009588493808,0.9968038353975229,-0.00239712345185783,0.997805705166567,0.9930348258706467,-0.004770879295920238,0.9999333619379395,0.9998282492442043,-0.0001051126937351432,0.9999356572371612,0.9998288762587724,-0.00010678097838878742,0.0034668721109399076,0.010400616332819723,0.006933744221879815,0.0007990411506192569,0.0031961646024770275,0.0023971234518577705,0.001762657628052634,0.005197436197410382,0.003434778569357748,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,90.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9978427142576975,0.9935281427730928,-0.00431457148460479,0.0,-0.000392233771327688,old_sid_b,mixed_sid_cifake_b,0.9978427142576975,0.9935281427730928,-0.00431457148460479,0.0,-0.000392233771327688,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2587,2571,-16.0,9,25,16.0,2,8,6.0,2501,2495,-6.0,0.9978427142576975,0.9935281427730928,-0.00431457148460479,0.9978670433692205,0.9935868175446783,-0.004280225824542239,0.996414342629482,0.9900793650793651,-0.006334977550116916,0.9992009588493808,0.9968038353975229,-0.00239712345185783,0.997805705166567,0.993430220983476,-0.004375484183090972,0.9999345931261531,0.9998173224488087,-0.00011727067734434993,0.9999360969346841,0.9998188671986143,-0.00011722973606975717,0.0034668721109399076,0.00963020030816641,0.006163328197226502,0.0007990411506192569,0.0031961646024770275,0.0023971234518577705,0.0017609463922677426,0.005206110931234476,0.003445164538966733,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,70.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9974504804863699,0.9943126103157481,-0.003137870170621726,0.000392233771327688,-0.001176701313983064,old_sid_b,mixed_sid_cifake_b,0.9974504804863699,0.9943126103157481,-0.003137870170621726,0.000392233771327688,-0.001176701313983064,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2589,2576,-13.0,7,20,13.0,6,9,3.0,2497,2494,-3.0,0.9974504804863699,0.9943126103157481,-0.003137870170621726,0.9974532102309279,0.9943500772878402,-0.0031031329430877275,0.9972044728434505,0.9920445505171042,-0.005159922326346322,0.9976028765481423,0.9964043148222134,-0.001198561725928915,0.9974036349111244,0.9942196531791907,-0.0031839817319336827,0.9998978113782722,0.9998130132900611,-8.479808821104662e-05,0.9999013481586896,0.999813635634331,-8.771252435857413e-05,0.002696456086286595,0.007704160246533128,0.005007704160246533,0.0023971234518577705,0.003595685177786656,0.0011985617259288855,0.0018451239272425084,0.004802955047530799,0.002957831120288291,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,50.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9974504804863699,0.9941164934300843,-0.0033339870562855145,0.000392233771327688,-0.0009805844283192755,old_sid_b,mixed_sid_cifake_b,0.9974504804863699,0.9941164934300843,-0.0033339870562855145,0.000392233771327688,-0.0009805844283192755,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2590,2577,-13.0,6,19,13.0,7,11,4.0,2496,2492,-4.0,0.9974504804863699,0.9941164934300843,-0.0033339870562855145,0.9974460539494363,0.9941431607186939,-0.0033028932307423986,0.9976019184652278,0.9924332935085624,-0.00516862495666548,0.9972033559728326,0.9956052736715941,-0.0015980823012384793,0.9974025974025974,0.9940167530913442,-0.0033858443112532166,0.9998690323537796,0.9997917752933767,-7.725706040284663e-05,0.9998706887912524,0.9997921585333358,-7.853025791659807e-05,0.0023112480739599386,0.007318952234206471,0.005007704160246533,0.002796644027167399,0.0043947263284059125,0.0015980823012385135,0.0020929638016302676,0.004585077112155938,0.0024921133105256705,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,30.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9974504804863699,0.9949009609727397,-0.0025495195136301385,0.000392233771327688,-0.0017650519709746515,old_sid_b,mixed_sid_cifake_b,0.9974504804863699,0.9949009609727397,-0.0025495195136301385,0.000392233771327688,-0.0017650519709746515,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2594,2581,-13.0,2,15,13.0,11,11,0.0,2492,2492,0.0,0.9974504804863699,0.9949009609727397,-0.0025495195136301385,0.9974174288234704,0.9949135767433471,-0.00250385208012327,0.9991980753809142,0.9940167530913442,-0.005181322289570023,0.9956052736715941,0.9956052736715941,0.0,0.9973984390634381,0.9948103792415169,-0.002588059821921118,0.99993567041584,0.999842715705714,-9.295471012593648e-05,0.999934781900898,0.9998415457072979,-9.323619360013247e-05,0.0007704160246533128,0.005778120184899846,0.005007704160246533,0.0043947263284059125,0.0043947263284059125,0.0,0.0023451330584615825,0.0040954234591405085,0.001750290400678926,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9980388311433614,0.9935281427730928,-0.0045106883702686895,-0.0001961168856638995,-0.000392233771327688,old_sid_b,mixed_sid_cifake_b,0.9980388311433614,0.9935281427730928,-0.0045106883702686895,-0.0001961168856638995,-0.000392233771327688,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2588,2571,-17.0,8,25,17.0,2,8,6.0,2501,2495,-6.0,0.9980388311433614,0.9935281427730928,-0.0045106883702686895,0.9980596473753838,0.9935868175446783,-0.004472829830705516,0.9968114786767637,0.9900793650793651,-0.006732113597398559,0.9992009588493808,0.9968038353975229,-0.00239712345185783,0.9980047885075818,0.993430220983476,-0.004574567524105788,0.9999359782128934,0.9998373292572795,-9.864895561384479e-05,0.9999379425889022,0.9998377639790275,-0.00010017860987476812,0.0030816640986132513,0.00963020030816641,0.0065485362095531584,0.0007990411506192569,0.0031961646024770275,0.0023971234518577705,0.0016860767313813634,0.004976670795676683,0.00329059406429532,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,1.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9982349480290253,0.9939203765444204,-0.004314571484604901,-0.000392233771327799,-0.000784467542655376,old_sid_b,mixed_sid_cifake_b,0.9982349480290253,0.9939203765444204,-0.004314571484604901,-0.000392233771327799,-0.000784467542655376,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2590,2575,-15.0,6,21,15.0,3,10,7.0,2500,2493,-7.0,0.9982349480290253,0.9939203765444204,-0.004314571484604901,0.9982450951000555,0.993957712994022,-0.0042873821060335215,0.9976057462090981,0.9916467780429594,-0.005958968166138723,0.9988014382740711,0.9960047942469037,-0.0027966440271673942,0.9982032341784788,0.9938210085708591,-0.004382225607619694,0.9999429036465948,0.999835020779379,-0.00010788286721574725,0.999944330702937,0.9998347696332225,-0.0001095610697144922,0.0023112480739599386,0.008089368258859784,0.005778120184899845,0.0011985617259288853,0.003995205753096284,0.0027966440271673986,0.001550396511340086,0.004699605092963274,0.003149208581623188,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,2.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9976465973720338,0.9919592076877819,-0.0056873896842518645,0.0001961168856637885,0.001176701313983175,old_sid_b,mixed_sid_cifake_b,0.9976465973720338,0.9919592076877819,-0.0056873896842518645,0.0001961168856637885,0.001176701313983175,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2588,2565,-23.0,8,31,23.0,4,10,6.0,2499,2493,-6.0,0.9976465973720338,0.9919592076877819,-0.0056873896842518645,0.9976601268000742,0.9920316729323887,-0.005628453867685512,0.9968089349820503,0.9877179080824089,-0.009091026899641363,0.9984019176987615,0.9960047942469037,-0.00239712345185783,0.9976047904191617,0.9918440421722697,-0.005760748246891989,0.9999281293880318,0.9993203071568354,-0.0006078222311963755,0.9999298850124565,0.9988966943931404,-0.00103319061931606,0.0030816640986132513,0.011941448382126348,0.008859784283513097,0.0015980823012385138,0.003995205753096284,0.00239712345185777,0.0019507573953829959,0.006206226778952372,0.0042554693835693755,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9982349480290253,0.9941164934300843,-0.0041184545989410015,-0.000392233771327799,-0.0009805844283192755,old_sid_b,mixed_sid_cifake_b,0.9982349480290253,0.9941164934300843,-0.0041184545989410015,-0.000392233771327799,-0.0009805844283192755,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2589,2575,-14.0,7,21,14.0,2,9,7.0,2501,2494,-7.0,0.9982349480290253,0.9941164934300843,-0.0041184545989410015,0.998252251381547,0.9941574732816768,-0.004094778099870244,0.9972089314194578,0.9916500994035785,-0.005558832015879256,0.9992009588493808,0.9964043148222134,-0.0027966440271673942,0.9982039513071244,0.9940215225189318,-0.004182428788192527,0.9999353626187866,0.9998448702850877,-9.049233369884391e-05,0.9999379516964838,0.9998450303672972,-9.292132918659046e-05,0.002696456086286595,0.008089368258859784,0.005392912172573189,0.0007990411506192569,0.003595685177786656,0.002796644027167399,0.0016117284065670166,0.004702186669972092,0.0030904582634050754,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.25,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.9976465973720338,0.9933320258874289,-0.004314571484604901,0.0001961168856637885,-0.0001961168856637885,old_sid_b,mixed_sid_cifake_b,0.9976465973720338,0.9933320258874289,-0.004314571484604901,0.0001961168856637885,-0.0001961168856637885,old_sid_b,old_sid_b,5099,5099,0.5,0.5,2588,2573,-15.0,8,23,15.0,4,11,7.0,2499,2492,-7.0,0.9976465973720338,0.9933320258874289,-0.004314571484604901,0.9976601268000742,0.9933727446940406,-0.004287382106033633,0.9968089349820503,0.990854870775348,-0.005954064206702303,0.9984019176987615,0.9956052736715941,-0.0027966440271673942,0.9976047904191617,0.9932243921881228,-0.004380398231038973,0.9999156636073692,0.9995525400336238,-0.00036312357374534976,0.9999185136005582,0.9994666413897224,-0.00045187221083575757,0.0030816640986132513,0.008859784283513097,0.005778120184899847,0.0015980823012385138,0.0043947263284059125,0.0027966440271673986,0.0019894366252441354,0.005766024467467638,0.003776587842223503,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
