model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,clean,,,5099,0.5,2587,9,2,2501,0.9978427142576975,0.9978670433692205,0.996414342629482,0.9992009588493808,0.997805705166567,0.9999333619379395,0.9999356572371612,0.0034668721109399076,0.0007990411506192569,0.001762657628052634
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,clean,,,5099,0.5,2569,27,8,2495,0.9931359090017651,0.9932016095323516,0.9892942109436955,0.9968038353975229,0.9930348258706467,0.9998282492442043,0.9998288762587724,0.010400616332819723,0.0031961646024770275,0.005197436197410382
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,90.0,,5099,0.5,2587,9,2,2501,0.9978427142576975,0.9978670433692205,0.996414342629482,0.9992009588493808,0.997805705166567,0.9999345931261531,0.9999360969346841,0.0034668721109399076,0.0007990411506192569,0.0017609463922677426
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,90.0,,5099,0.5,2571,25,8,2495,0.9935281427730928,0.9935868175446783,0.9900793650793651,0.9968038353975229,0.993430220983476,0.9998173224488087,0.9998188671986143,0.00963020030816641,0.0031961646024770275,0.005206110931234476
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,70.0,,5099,0.5,2589,7,6,2497,0.9974504804863699,0.9974532102309279,0.9972044728434505,0.9976028765481423,0.9974036349111244,0.9998978113782722,0.9999013481586896,0.002696456086286595,0.0023971234518577705,0.0018451239272425084
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,70.0,,5099,0.5,2576,20,9,2494,0.9943126103157481,0.9943500772878402,0.9920445505171042,0.9964043148222134,0.9942196531791907,0.9998130132900611,0.999813635634331,0.007704160246533128,0.003595685177786656,0.004802955047530799
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,50.0,,5099,0.5,2590,6,7,2496,0.9974504804863699,0.9974460539494363,0.9976019184652278,0.9972033559728326,0.9974025974025974,0.9998690323537796,0.9998706887912524,0.0023112480739599386,0.002796644027167399,0.0020929638016302676
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,50.0,,5099,0.5,2577,19,11,2492,0.9941164934300843,0.9941431607186939,0.9924332935085624,0.9956052736715941,0.9940167530913442,0.9997917752933767,0.9997921585333358,0.007318952234206471,0.0043947263284059125,0.004585077112155938
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,jpeg,30.0,,5099,0.5,2594,2,11,2492,0.9974504804863699,0.9974174288234704,0.9991980753809142,0.9956052736715941,0.9973984390634381,0.99993567041584,0.999934781900898,0.0007704160246533128,0.0043947263284059125,0.0023451330584615825
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,jpeg,30.0,,5099,0.5,2581,15,11,2492,0.9949009609727397,0.9949135767433471,0.9940167530913442,0.9956052736715941,0.9948103792415169,0.999842715705714,0.9998415457072979,0.005778120184899846,0.0043947263284059125,0.0040954234591405085
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,0.5,,5099,0.5,2588,8,2,2501,0.9980388311433614,0.9980596473753838,0.9968114786767637,0.9992009588493808,0.9980047885075818,0.9999359782128934,0.9999379425889022,0.0030816640986132513,0.0007990411506192569,0.0016860767313813634
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,blur,0.5,,5099,0.5,2571,25,8,2495,0.9935281427730928,0.9935868175446783,0.9900793650793651,0.9968038353975229,0.993430220983476,0.9998373292572795,0.9998377639790275,0.00963020030816641,0.0031961646024770275,0.004976670795676683
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,1.0,,5099,0.5,2590,6,3,2500,0.9982349480290253,0.9982450951000555,0.9976057462090981,0.9988014382740711,0.9982032341784788,0.9999429036465948,0.999944330702937,0.0023112480739599386,0.0011985617259288853,0.001550396511340086
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,blur,1.0,,5099,0.5,2575,21,10,2493,0.9939203765444204,0.993957712994022,0.9916467780429594,0.9960047942469037,0.9938210085708591,0.999835020779379,0.9998347696332225,0.008089368258859784,0.003995205753096284,0.004699605092963274
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,blur,2.0,,5099,0.5,2588,8,4,2499,0.9976465973720338,0.9976601268000742,0.9968089349820503,0.9984019176987615,0.9976047904191617,0.9999281293880318,0.9999298850124565,0.0030816640986132513,0.0015980823012385138,0.0019507573953829959
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,blur,2.0,,5099,0.5,2565,31,10,2493,0.9919592076877819,0.9920316729323887,0.9877179080824089,0.9960047942469037,0.9918440421722697,0.9993203071568354,0.9988966943931404,0.011941448382126348,0.003995205753096284,0.006206226778952372
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,resize,0.5,,5099,0.5,2589,7,2,2501,0.9982349480290253,0.998252251381547,0.9972089314194578,0.9992009588493808,0.9982039513071244,0.9999353626187866,0.9999379516964838,0.002696456086286595,0.0007990411506192569,0.0016117284065670166
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,resize,0.5,,5099,0.5,2575,21,9,2494,0.9941164934300843,0.9941574732816768,0.9916500994035785,0.9964043148222134,0.9940215225189318,0.9998448702850877,0.9998450303672972,0.008089368258859784,0.003595685177786656,0.004702186669972092
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,resize,0.25,,5099,0.5,2588,8,4,2499,0.9976465973720338,0.9976601268000742,0.9968089349820503,0.9984019176987615,0.9976047904191617,0.9999156636073692,0.9999185136005582,0.0030816640986132513,0.0015980823012385138,0.0019894366252441354
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,resize,0.25,,5099,0.5,2573,23,11,2492,0.9933320258874289,0.9933727446940406,0.990854870775348,0.9956052736715941,0.9932243921881228,0.9995525400336238,0.9994666413897224,0.008859784283513097,0.0043947263284059125,0.005766024467467638
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.02,42.0,5099,0.5,2591,5,3,2500,0.9984310649146891,0.9984376991062189,0.998003992015968,0.9988014382740711,0.9984025559105432,0.9998410228219203,0.999860359833764,0.001926040061633282,0.0011985617259288853,0.0022334352012002806
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,noise,0.02,42.0,5099,0.5,2571,25,11,2492,0.9929397921161012,0.9929875366817138,0.990067540723083,0.9956052736715941,0.9928286852589642,0.999638492360785,0.9996519320011557,0.00963020030816641,0.0043947263284059125,0.005894330656838587
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.05,42.0,5099,0.5,2585,11,8,2495,0.9962737791723868,0.9962832736309648,0.9956105347166799,0.9968038353975229,0.9962068277101218,0.9998276336500975,0.9998370604637263,0.00423728813559322,0.0031961646024770275,0.0036352371223656046
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,noise,0.05,42.0,5099,0.5,2565,31,14,2489,0.9911747401451265,0.9912326317817695,0.9876984126984127,0.9944067119456652,0.9910412104320128,0.9992597480865796,0.9992973381080543,0.011941448382126348,0.005593288054334798,0.008055612109856452
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,val,noise,0.1,42.0,5099,0.5,2588,8,21,2482,0.9943126103157481,0.9942642019099424,0.9967871485943776,0.9916100679184978,0.9941918686160625,0.9997152877256076,0.99971748904414,0.0030816640986132513,0.008389932081502197,0.005332195646317282
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,val,noise,0.1,42.0,5099,0.5,2550,46,30,2473,0.985095116689547,0.9851474070868425,0.981738785232235,0.9880143827407112,0.9848665870171247,0.9969548098522142,0.9947349928633943,0.017719568567026195,0.011985617259288853,0.01249195916193319
