evaluation_title,transform,severity,reference_model_id,reference_model_title,candidate_model_id,candidate_model_title,difference_direction,reference_accuracy,candidate_accuracy,candidate_minus_reference_accuracy,reference_drop_from_clean,candidate_drop_from_clean,model_a_id,model_b_id,model_a_accuracy,model_b_accuracy,b_minus_a_accuracy,model_a_drop_from_clean,model_b_drop_from_clean,better_model,higher_accuracy_model,old_sid_b__num_samples,mixed_sid_cifake_b__num_samples,old_sid_b__threshold,mixed_sid_cifake_b__threshold,old_sid_b__true_negatives,mixed_sid_cifake_b__true_negatives,mixed_sid_cifake_b_minus_old_sid_b__true_negatives,old_sid_b__false_positives,mixed_sid_cifake_b__false_positives,mixed_sid_cifake_b_minus_old_sid_b__false_positives,old_sid_b__false_negatives,mixed_sid_cifake_b__false_negatives,mixed_sid_cifake_b_minus_old_sid_b__false_negatives,old_sid_b__true_positives,mixed_sid_cifake_b__true_positives,mixed_sid_cifake_b_minus_old_sid_b__true_positives,old_sid_b__accuracy,mixed_sid_cifake_b__accuracy,mixed_sid_cifake_b_minus_old_sid_b__accuracy,old_sid_b__balanced_accuracy,mixed_sid_cifake_b__balanced_accuracy,mixed_sid_cifake_b_minus_old_sid_b__balanced_accuracy,old_sid_b__precision,mixed_sid_cifake_b__precision,mixed_sid_cifake_b_minus_old_sid_b__precision,old_sid_b__recall,mixed_sid_cifake_b__recall,mixed_sid_cifake_b_minus_old_sid_b__recall,old_sid_b__f1,mixed_sid_cifake_b__f1,mixed_sid_cifake_b_minus_old_sid_b__f1,old_sid_b__auroc,mixed_sid_cifake_b__auroc,mixed_sid_cifake_b_minus_old_sid_b__auroc,old_sid_b__auprc,mixed_sid_cifake_b__auprc,mixed_sid_cifake_b_minus_old_sid_b__auprc,old_sid_b__false_positive_rate,mixed_sid_cifake_b__false_positive_rate,mixed_sid_cifake_b_minus_old_sid_b__false_positive_rate,old_sid_b__false_negative_rate,mixed_sid_cifake_b__false_negative_rate,mixed_sid_cifake_b_minus_old_sid_b__false_negative_rate,old_sid_b__brier_score,mixed_sid_cifake_b__brier_score,mixed_sid_cifake_b_minus_old_sid_b__brier_score,model_a_title,model_b_title
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,clean,,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7800484001075558,0.7984673299273999,0.018418929819844054,0.0,0.0,old_sid_b,mixed_sid_cifake_b,0.7800484001075558,0.7984673299273999,0.018418929819844054,0.0,0.0,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3696,3640,-56.0,23,79,56.0,1613,1420,-193.0,2106,2299,193.0,0.7800484001075558,0.7984673299273999,0.018418929819844054,0.7800484001075558,0.7984673299273999,0.018418929819844054,0.9891968060122123,0.9667788057190917,-0.022418000293120577,0.5662812584027964,0.618176929282065,0.05189567087926861,0.7202462380300958,0.7541413810070526,0.03389514297695684,0.9658868244946971,0.9507489754327266,-0.015137849061970465,0.9680506540457114,0.9535989180980217,-0.014451735947689781,0.006184458187684862,0.021242269427265394,0.015057811239580533,0.4337187415972035,0.3818230707179349,-0.05189567087926861,0.17956050975275079,0.1573791679329429,-0.02218134181980788,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,90.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7781661737026082,0.7961817692928207,0.018015595590212485,0.0018822264049476178,0.002285560634579187,old_sid_b,mixed_sid_cifake_b,0.7781661737026082,0.7961817692928207,0.018015595590212485,0.0018822264049476178,0.002285560634579187,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3697,3643,-54.0,22,76,54.0,1628,1440,-188.0,2091,2279,188.0,0.7781661737026082,0.7961817692928207,0.018015595590212485,0.7781661737026082,0.7961817692928206,0.018015595590212374,0.9895882631329863,0.9677282377919321,-0.021860025341054246,0.5622479161064803,0.6127991395536434,0.05055122344716312,0.7170781893004116,0.7504115903852486,0.03333340108483707,0.9680969384556866,0.950880347359811,-0.01721659109587559,0.9700180704043421,0.9539552855795916,-0.01606278482475043,0.005915568701263781,0.020435600968002152,0.014520032266738371,0.43775208389351977,0.38720086044635654,-0.05055122344716323,0.1809435756569097,0.15823621893145878,-0.022707356725450906,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,70.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7625705834901856,0.7866361925248723,0.024065609034686686,0.017477816617370245,0.011831137402527614,old_sid_b,mixed_sid_cifake_b,0.7625705834901856,0.7866361925248723,0.024065609034686686,0.017477816617370245,0.011831137402527614,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3696,3639,-57.0,23,80,57.0,1743,1507,-236.0,1976,2212,236.0,0.7625705834901856,0.7866361925248723,0.024065609034686686,0.7625705834901855,0.7866361925248723,0.024065609034686797,0.9884942471235618,0.9650959860383944,-0.023398261085167404,0.5313256251680559,0.594783543963431,0.0634579187953751,0.6911507520111927,0.735984029279654,0.04483327726846131,0.9640944327729648,0.9447600929537725,-0.019334339819192303,0.9658106133686776,0.9485005723965702,-0.01731004097210742,0.006184458187684862,0.021511158913686476,0.015326700726001615,0.4686743748319441,0.405216456036569,-0.0634579187953751,0.19597952840248967,0.16781084134658084,-0.02816868705590883,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,50.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7495294433987632,0.7753428340951869,0.025813390696423744,0.030518956708792677,0.023124495832212988,old_sid_b,mixed_sid_cifake_b,0.7495294433987632,0.7753428340951869,0.025813390696423744,0.030518956708792677,0.023124495832212988,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3703,3632,-71.0,16,87,71.0,1847,1584,-263.0,1872,2135,263.0,0.7495294433987632,0.7753428340951869,0.025813390696423744,0.7495294433987632,0.7753428340951869,0.025813390696423744,0.9915254237288136,0.9608460846084609,-0.0306793391203527,0.5033611185802636,0.5740790535090078,0.07071793492874423,0.6677367576243981,0.7187342198283118,0.05099746220391366,0.9610740714256949,0.9276467484797332,-0.033427322945961735,0.9635537543346816,0.9328738958882572,-0.030679858446424402,0.004302231782737295,0.023393385318634042,0.019091153535896747,0.4966388814197365,0.4259209464909922,-0.07071793492874429,0.20894234614456822,0.179956681651743,-0.02898566449282522,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,jpeg,30.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.725867168593708,0.7487227749394999,0.022855606345791868,0.054181231513847794,0.04974455498789998,old_sid_b,mixed_sid_cifake_b,0.725867168593708,0.7487227749394999,0.022855606345791868,0.054181231513847794,0.04974455498789998,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3699,3553,-146.0,20,166,146.0,2019,1703,-316.0,1700,2016,316.0,0.725867168593708,0.7487227749394999,0.022855606345791868,0.7258671685937079,0.7487227749394998,0.022855606345791868,0.9883720930232558,0.923923006416132,-0.06444908660712378,0.4571121269158376,0.5420812046248992,0.08496907770906159,0.6251149108291966,0.6832740213523132,0.05815911052311662,0.9503489309238888,0.8828085770757361,-0.06754035384815271,0.954360864087539,0.8929545785416867,-0.06140628554585226,0.005377789728421619,0.044635654745899436,0.039257865017477814,0.5428878730841624,0.45791879537510083,-0.08496907770906159,0.2312762859242517,0.1994808744880083,-0.0317954114362434,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7754772788383975,0.7967195482656628,0.02124226942726537,0.004571121269158374,0.0017477816617370578,old_sid_b,mixed_sid_cifake_b,0.7754772788383975,0.7967195482656628,0.02124226942726537,0.004571121269158374,0.0017477816617370578,mixed_sid_cifake_b,mixed_sid_cifake_b,7438,7438,0.5,0.5,3702,3649,-53.0,17,70,53.0,1653,1442,-211.0,2066,2277,211.0,0.7754772788383975,0.7967195482656628,0.02124226942726537,0.7754772788383975,0.7967195482656628,0.02124226942726537,0.9918386941910706,0.9701746910950149,-0.02166400309605576,0.5555256789459532,0.6122613605808013,0.0567356816348481,0.7121682178559118,0.7507418397626113,0.03857362190669955,0.9721169411149377,0.9486172363583413,-0.023499704756596462,0.9741528579216566,0.9520128257942881,-0.02214003212736848,0.004571121269158376,0.018822264049475665,0.014251142780317288,0.4444743210540468,0.3877386394191987,-0.056735681634848045,0.1833005883780208,0.1597938503014941,-0.0235067380765267,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,1.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7657972573272385,0.7586716859370799,-0.007125571390158569,0.01425114278031736,0.039795643990319984,old_sid_b,mixed_sid_cifake_b,0.7657972573272385,0.7586716859370799,-0.007125571390158569,0.01425114278031736,0.039795643990319984,old_sid_b,old_sid_b,7438,7438,0.5,0.5,3699,3417,-282.0,20,302,282.0,1722,1493,-229.0,1997,2226,229.0,0.7657972573272385,0.7586716859370799,-0.007125571390158569,0.7657972573272385,0.7586716859370799,-0.007125571390158569,0.9900842835894893,0.8805379746835443,-0.10954630890594497,0.5369723043828987,0.5985479967733262,0.06157569239042748,0.6963040446304045,0.7126620777973427,0.01635803316693818,0.960964173060715,0.8636364096464446,-0.09732776341427041,0.9649555242585071,0.8746982020241831,-0.09025732223432392,0.005377789728421619,0.08120462489916644,0.07582683517074482,0.4630276956171014,0.40145200322667385,-0.06157569239042754,0.1928400976575684,0.189196050973101,-0.0036440466844674113,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,blur,2.0,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.749260553912342,0.5442323205162678,-0.20502823339607423,0.030787846195213797,0.2542350094111321,old_sid_b,mixed_sid_cifake_b,0.749260553912342,0.5442323205162678,-0.20502823339607423,0.030787846195213797,0.2542350094111321,old_sid_b,old_sid_b,7438,7438,0.5,0.5,3699,1902,-1797.0,20,1817,1797.0,1845,1573,-272.0,1874,2146,272.0,0.749260553912342,0.5442323205162678,-0.20502823339607423,0.749260553912342,0.5442323205162678,-0.20502823339607423,0.989440337909187,0.5415089578602069,-0.44793138004898003,0.5038988975531057,0.5770368378596397,0.07313794030653398,0.6677356137537859,0.5587086696172872,-0.10902694413649872,0.9346004229207211,0.5491743487672331,-0.38542607415348795,0.9455187097978626,0.5607185961658848,-0.38480011363197775,0.005377789728421619,0.48857219682710407,0.48319440709868244,0.4961011024468943,0.42296316214036034,-0.07313794030653398,0.20998293266132448,0.3678200001576812,0.1578370674963567,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.5,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7713094917988707,0.7565205700457112,-0.01478892175315949,0.008738908308685178,0.04194675988168872,old_sid_b,mixed_sid_cifake_b,0.7713094917988707,0.7565205700457112,-0.01478892175315949,0.008738908308685178,0.04194675988168872,old_sid_b,old_sid_b,7438,7438,0.5,0.5,3671,3370,-301.0,48,349,301.0,1653,1462,-191.0,2066,2257,191.0,0.7713094917988707,0.7565205700457112,-0.01478892175315949,0.7713094917988707,0.7565205700457112,-0.01478892175315949,0.9772942289498581,0.8660782808902533,-0.11121594805960477,0.5555256789459532,0.6068835708523797,0.05135789190642648,0.7083833361906394,0.7136758893280633,0.005292553137423828,0.9415794752078326,0.858201393236522,-0.08337808197131058,0.946618099285274,0.864965771334756,-0.08165232795051791,0.012906695348211886,0.09384243076095725,0.08093573541274536,0.4444743210540468,0.39311642914762035,-0.05135789190642642,0.1866307548294504,0.19103931526519505,0.004408560435744641,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,resize,0.25,old_sid_b,Old SID B - SID-only robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b minus old_sid_b,0.7497983328851842,0.48991664425920944,-0.2598816886259747,0.030250067222371668,0.30855068566819044,old_sid_b,mixed_sid_cifake_b,0.7497983328851842,0.48991664425920944,-0.2598816886259747,0.030250067222371668,0.30855068566819044,old_sid_b,old_sid_b,7438,7438,0.5,0.5,3681,1507,-2174.0,38,2212,2174.0,1823,1582,-241.0,1896,2137,241.0,0.7497983328851842,0.48991664425920944,-0.2598816886259747,0.7497983328851842,0.48991664425920944,-0.2598816886259747,0.9803516028955532,0.4913773281214072,-0.488974274774146,0.5098144662543694,0.5746168324818499,0.06480236622748048,0.670794268529984,0.529747149231532,-0.14104711929845204,0.9186024383988934,0.48867974539151693,-0.4299226930073765,0.9323961721663946,0.5100664337439593,-0.42232973842243526,0.010217800484001076,0.594783543963431,0.5845657434794299,0.49018553374563056,0.42538316751815003,-0.06480236622748053,0.20498521707254486,0.4132297088142092,0.20824449174166432,Old SID B - SID-only robustness training,New Mixed B - SID and CIFAKE robustness training
