model_id,model_title,architecture_override,evaluation_title,checkpoint_hash,split,transform,severity,seed,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,clean,,,7438,0.5,3696,23,1613,2106,0.7800484001075558,0.7800484001075558,0.9891968060122123,0.5662812584027964,0.7202462380300958,0.9658868244946971,0.9680506540457114,0.006184458187684862,0.4337187415972035,0.17956050975275079
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,clean,,,7438,0.5,3640,79,1420,2299,0.7984673299273999,0.7984673299273999,0.9667788057190917,0.618176929282065,0.7541413810070526,0.9507489754327266,0.9535989180980217,0.021242269427265394,0.3818230707179349,0.1573791679329429
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,jpeg,90.0,,7438,0.5,3697,22,1628,2091,0.7781661737026082,0.7781661737026082,0.9895882631329863,0.5622479161064803,0.7170781893004116,0.9680969384556866,0.9700180704043421,0.005915568701263781,0.43775208389351977,0.1809435756569097
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,jpeg,90.0,,7438,0.5,3643,76,1440,2279,0.7961817692928207,0.7961817692928206,0.9677282377919321,0.6127991395536434,0.7504115903852486,0.950880347359811,0.9539552855795916,0.020435600968002152,0.38720086044635654,0.15823621893145878
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,jpeg,70.0,,7438,0.5,3696,23,1743,1976,0.7625705834901856,0.7625705834901855,0.9884942471235618,0.5313256251680559,0.6911507520111927,0.9640944327729648,0.9658106133686776,0.006184458187684862,0.4686743748319441,0.19597952840248967
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,jpeg,70.0,,7438,0.5,3639,80,1507,2212,0.7866361925248723,0.7866361925248723,0.9650959860383944,0.594783543963431,0.735984029279654,0.9447600929537725,0.9485005723965702,0.021511158913686476,0.405216456036569,0.16781084134658084
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,jpeg,50.0,,7438,0.5,3703,16,1847,1872,0.7495294433987632,0.7495294433987632,0.9915254237288136,0.5033611185802636,0.6677367576243981,0.9610740714256949,0.9635537543346816,0.004302231782737295,0.4966388814197365,0.20894234614456822
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,jpeg,50.0,,7438,0.5,3632,87,1584,2135,0.7753428340951869,0.7753428340951869,0.9608460846084609,0.5740790535090078,0.7187342198283118,0.9276467484797332,0.9328738958882572,0.023393385318634042,0.4259209464909922,0.179956681651743
old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,jpeg,30.0,,7438,0.5,3699,20,2019,1700,0.725867168593708,0.7258671685937079,0.9883720930232558,0.4571121269158376,0.6251149108291966,0.9503489309238888,0.954360864087539,0.005377789728421619,0.5428878730841624,0.2312762859242517
mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,Single-transform robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,jpeg,30.0,,7438,0.5,3553,166,1703,2016,0.7487227749394999,0.7487227749394998,0.923923006416132,0.5420812046248992,0.6832740213523132,0.8828085770757361,0.8929545785416867,0.044635654745899436,0.45791879537510083,0.1994808744880083
