report_title,model_id,model_title,architecture_override,checkpoint_hash,split,run_seed,condition_id,condition_title,condition_kind,num_transform_steps,transform_chain,transform_parameters_json,possible_in_b_c_training_sampler,num_samples,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,balanced_accuracy,precision,recall,f1,auroc,auprc,false_positive_rate,false_negative_rate,brier_score
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,42,clean,Clean image — no robustness transform,clean,0,none,[],True,7438,0.5,3696,23,1613,2106,0.7800484001075558,0.7800484001075558,0.9891968060122123,0.5662812584027964,0.7202462380300958,0.9658868244946971,0.9680506540457114,0.006184458187684862,0.4337187415972035,0.17956050975275079
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,42,clean,Clean image — no robustness transform,clean,0,none,[],True,7438,0.5,3640,79,1420,2299,0.7984673299273999,0.7984673299273999,0.9667788057190917,0.618176929282065,0.7541413810070526,0.9507489754327266,0.9535989180980217,0.021242269427265394,0.3818230707179349,0.1573791679329429
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,42,fixed_resize_half_then_jpeg70,Fixed chain — Resize 0.50× → JPEG quality 70,fixed_chain,2,resize(scale=0.5) -> jpeg(quality=70),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.5},{""order"":2,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":70}]",True,7438,0.5,3703,16,1810,1909,0.7545038988975531,0.7545038988975532,0.9916883116883117,0.5133100295778436,0.6764705882352942,0.963230356878311,0.9661278820896275,0.004302231782737295,0.4866899704221565,0.20230701501747006
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,42,fixed_resize_half_then_jpeg70,Fixed chain — Resize 0.50× → JPEG quality 70,fixed_chain,2,resize(scale=0.5) -> jpeg(quality=70),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.5},{""order"":2,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":70}]",True,7438,0.5,3442,277,1576,2143,0.7508738908308685,0.7508738908308685,0.8855371900826446,0.5762301694003764,0.6981593093337677,0.8642626857237179,0.8749164702210264,0.07448238773863942,0.42376983059962353,0.1943740154365316
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,42,fixed_resize_quarter_then_jpeg50,Fixed chain — Resize 0.25× → JPEG quality 50,fixed_chain,2,resize(scale=0.25) -> jpeg(quality=50),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.25},{""order"":2,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":50}]",True,7438,0.5,3717,2,2014,1705,0.7289593976875505,0.7289593976875505,0.9988283538371412,0.458456574347943,0.6284555842241062,0.9753334565833857,0.9788439833546627,0.0005377789728421619,0.541543425652057,0.22803309856939236
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,42,fixed_resize_quarter_then_jpeg50,Fixed chain — Resize 0.25× → JPEG quality 50,fixed_chain,2,resize(scale=0.25) -> jpeg(quality=50),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.25},{""order"":2,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":50}]",True,7438,0.5,2419,1300,1756,1963,0.5891368647485883,0.5891368647485884,0.601593625498008,0.5278300618445819,0.5623030650243483,0.60674063067635,0.6422605906056988,0.34955633234740524,0.47216993815541813,0.324174563494407
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,42,fixed_crop_colour_jpeg,Fixed chain — Crop 0.80 → Colour +0.20 → JPEG quality 50,fixed_chain,3,crop(fraction=0.8) -> colour(strength=0.2) -> jpeg(quality=50),"[{""order"":1,""transform"":""crop"",""parameter_name"":""fraction"",""parameter_value"":0.8},{""order"":2,""transform"":""colour"",""parameter_name"":""strength"",""parameter_value"":0.2},{""order"":3,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":50}]",True,7438,0.5,3705,14,2605,1114,0.6478892175315946,0.6478892175315945,0.9875886524822695,0.29954288787308414,0.4596657726428719,0.9379216671929016,0.9401360952433276,0.003764452809895133,0.7004571121269159,0.3070016036839072
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,42,fixed_crop_colour_jpeg,Fixed chain — Crop 0.80 → Colour +0.20 → JPEG quality 50,fixed_chain,3,crop(fraction=0.8) -> colour(strength=0.2) -> jpeg(quality=50),"[{""order"":1,""transform"":""crop"",""parameter_name"":""fraction"",""parameter_value"":0.8},{""order"":2,""transform"":""colour"",""parameter_name"":""strength"",""parameter_value"":0.2},{""order"":3,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":50}]",True,7438,0.5,3648,71,2172,1547,0.6984404409787577,0.6984404409787577,0.9561186650185414,0.4159720354934122,0.5797264380738243,0.8968824364409675,0.9043609841693293,0.019091153535896747,0.5840279645065878,0.24647971109147557
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,old_sid_b,Old SID B - SID-only robustness training,efficientnet_b0,918083148a04149dd2209ae21810aa4279583e57f687b4b63d9300a5aae64d55,test,42,fixed_screenshot_resample,Fixed chain — Resize 0.50× → Blur 0.50 → JPEG quality 70,fixed_chain,3,resize(scale=0.5) -> blur(sigma=0.5) -> jpeg(quality=70),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.5},{""order"":2,""transform"":""blur"",""parameter_name"":""sigma"",""parameter_value"":0.5},{""order"":3,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":70}]",True,7438,0.5,3707,12,1839,1880,0.7511427803172896,0.7511427803172896,0.9936575052854123,0.5055122344716322,0.6701122794510782,0.9674306073164405,0.9700586549043232,0.0032266738370529714,0.4944877655283678,0.2054226439487505
Fixed robustness evaluation — Old SID B - SID-only robustness training vs New Mixed B - SID and CIFAKE robustness training,mixed_sid_cifake_b,New Mixed B - SID and CIFAKE robustness training,efficientnet_b0,9159a9d4ceb7fccd3eee24c3ddf9600c79c8abf1444cb0646b93ac66fd3b5c44,test,42,fixed_screenshot_resample,Fixed chain — Resize 0.50× → Blur 0.50 → JPEG quality 70,fixed_chain,3,resize(scale=0.5) -> blur(sigma=0.5) -> jpeg(quality=70),"[{""order"":1,""transform"":""resize"",""parameter_name"":""scale"",""parameter_value"":0.5},{""order"":2,""transform"":""blur"",""parameter_name"":""sigma"",""parameter_value"":0.5},{""order"":3,""transform"":""jpeg"",""parameter_name"":""quality"",""parameter_value"":70}]",True,7438,0.5,3429,290,1587,2132,0.7476472169938155,0.7476472169938155,0.8802642444260942,0.5732723850497445,0.6943494544862401,0.857320001119228,0.8689878512667939,0.07797795106211347,0.42672761495025546,0.1977606818467547
